param_id,form,audio
1_agriculturalfield,baɨ,shawandawa_1_agriculturalfield__1
2_abandonedagriculturalfield,diʃpũ,shawandawa_2_abandonedagriculturalfield__1
3_russetbackedoropendola,isku,shawandawa_3_russetbackedoropendola__1
4x1_redscarletmacaw,ʃãwã,shawandawa_4x1_redscarletmacaw__1
4x2_blueyellowscarletmacaw,kada,shawandawa_4x2_blueyellowscarletmacaw__1
5_whitethroatedtoucan,tʃainʃkwa,shawandawa_5_whitethroatedtoucan__1
6_spixsguan,kɨhʊ,shawandawa_6_spixsguan__1
7_yellowcrownedparrot,tʊbɪ,shawandawa_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pitsʊ,shawandawa_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃapiʃi,shawandawa_9_ringedkingfisher__1
10_greatkiskadee,pispiɾi,shawandawa_10_greatkiskadee__1
11_head,bapo,shawandawa_11_head__1
12_tooth,piti:,shawandawa_12_tooth__1
13_hand,bɨkɨ̃,shawandawa_13_hand__1
14_face,ɸɨmana,shawandawa_14_face__1
15_eye,ɸɨɾʊ,shawandawa_15_eye__1
16_nose,ʂakajnti,shawandawa_16_nose__1
17_mouth,aʂɸa,shawandawa_17_mouth__1
18_foot,taɨ,shawandawa_18_foot__1
19_neck,tɨstõ,shawandawa_19_neck__1
20_ear,dikatɪ,shawandawa_20_ear__1
21_shoulder,puti,shawandawa_21_shoulder__1
22_arm,pũɲã,shawandawa_22_arm__1
23_chest,ʂutʃi,shawandawa_23_chest__1
24_belly,pustõn,shawandawa_24_belly__1
25_leg,kipusto,shawandawa_25_leg__1
25_leg,ɸitaʃɨ,shawandawa_25_leg__2
26_penis,ɸuʂki,shawandawa_26_penis__1
27_vagina,tʃiʃpi,shawandawa_27_vagina__1
28_buttock,tʃipã,shawandawa_28_buttock__1
29_hair,ɸuː,shawandawa_29_hair__1
30_finger,natiβi,shawandawa_30_finger__1
31_toe,natiβi,shawandawa_31_toe__1
32_back,pɨtʃi,shawandawa_32_back__1
33_knee,ɾatoko,shawandawa_33_knee__1
34_eyebrow,ɸɨʃpi,shawandawa_34_eyebrow__1
35_breast,ʂumba,shawandawa_35_breast__1
36_heart,ũĩntɪ,shawandawa_36_heart__1
37_liver,taka,shawandawa_37_liver__1
38_intestines,puku,shawandawa_38_intestines__1
39_tongue,ada,shawandawa_39_tongue__1
40_urine,isõn,shawandawa_40_urine__1
41_excrement,puwi,shawandawa_41_excrement__1
42_blood,ibi,shawandawa_42_blood__1
43_nail,bɨtsisi,shawandawa_43_nail__1
44_bellybutton,tukuɾɨʂpi,shawandawa_44_bellybutton__1
45_saliva,kɨbʊ,shawandawa_45_saliva__1
46_ankle,tʃitʃokʊ,shawandawa_46_ankle__1
47_earring,paɾotabɨti,shawandawa_47_earring__1
48_feathercrown,bajti,shawandawa_48_feathercrown__1
49_menstraditionalrobe,ʃuɾiti,shawandawa_49_menstraditionalrobe__1
50_necklace,ɾauti,shawandawa_50_necklace__1
51_armoredcatfish,kɨʃinwã,shawandawa_51_armoredcatfish__1
52_electriceel,kudi,shawandawa_52_electriceel__1
53_stingray,pajʊ,shawandawa_53_stingray__1
54_pirarucu,ɸɨ̃ɾɨ̃wã,shawandawa_54_pirarucu__1
55_prochilodontidfish,kapiɾiba,shawandawa_55_prochilodontidfish__1
56_silvermylossoma,palometa,shawandawa_56_silvermylossoma__1
57_piranha,bakɨ,shawandawa_57_piranha__1
58_catfishpseudoplatystomafasciatum,ʃimakɨdɨja,shawandawa_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tʊ̃nõ,shawandawa_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,pãɲõ,shawandawa_60_catfishzungarozungaro__1
61_cichlidsfish,ɾɨtɨko,shawandawa_61_cichlidsfish__1
62_wildbanana,bandi pɨj,shawandawa_62_wildbanana__1
63_wildgarlic,ɸuwajtsa,shawandawa_63_wildgarlic__1
64_cushcushyam,ɸisʊpa,shawandawa_64_cushcushyam__1
65_sachainchi,sijʊ,shawandawa_65_sachainchi__1
66_peanut,taba,shawandawa_66_peanut__1
67_manioc,atsa,shawandawa_67_manioc__1
68_piripiri,sɨoti,shawandawa_68_piripiri__1
69_cacaotree,ɾɨʂɨɸi,shawandawa_69_cacaotree__1
70_mocambotree,kuɾiuɸi,shawandawa_70_mocambotree__1
