param_id,form,audio
1_agriculturalfield,baɨ,marinawa_1_agriculturalfield__1
2_abandonedagriculturalfield,tʃaka,marinawa_2_abandonedagriculturalfield__1
3_russetbackedoropendola,ɾito,marinawa_3_russetbackedoropendola__1
4_scarletmacaw,kada,marinawa_4_scarletmacaw__1
4_scarletmacaw,kaĩ,marinawa_4_scarletmacaw__2
5_whitethroatedtoucan,tʃajʂkwa,marinawa_5_whitethroatedtoucan__1
6_spixsguan,kɨɸu,marinawa_6_spixsguan__1
7_yellowcrownedparrot,ɸʷaβa kuɾu,marinawa_7_yellowcrownedparrot__1
7_yellowcrownedparrot,ɸʷaβa,marinawa_7_yellowcrownedparrot__2
8_bluewingedparrotlet,pitso,marinawa_8_bluewingedparrotlet__1
9_ringedkingfisher,tapiʃi,marinawa_9_ringedkingfisher__1
10_greatkiskadee,tsitsipio,marinawa_10_greatkiskadee__1
11_head,bapu,marinawa_11_head__1
12_tooth,batʃa,marinawa_12_tooth__1
13_hand,dukuɸudi data,marinawa_13_hand__1
14_face,ɸɨso,marinawa_14_face__1
15_eye,tʃaj uinti,marinawa_15_eye__1
16_nose,ɨwɨ ɾɨki,marinawa_16_nose__1
17_mouth,asβa,marinawa_17_mouth__1
18_foot,taɨ,marinawa_18_foot__1
19_neck,tɨsto,marinawa_19_neck__1
20_ear,tikati,marinawa_20_ear__1
21_shoulder,puti,marinawa_21_shoulder__1
22_arm,puɲa,marinawa_22_arm__1
23_chest,ʂutʃi,marinawa_23_chest__1
24_belly,namɨ,marinawa_24_belly__1
25_leg,kisi,marinawa_25_leg__1
26_penis,ɸuʂti,marinawa_26_penis__1
27_vagina,tʃiʂana,marinawa_27_vagina__1
28_buttock,tʃipa,marinawa_28_buttock__1
29_hair,ɸu:,marinawa_29_hair__1
30_finger,βɨtoti,marinawa_30_finger__1
31_toe,taɨ huʂka,marinawa_31_toe__1
32_back,pɨʂabati,marinawa_32_back__1
33_knee,ɾatoko,marinawa_33_knee__1
34_eyebrow,ɸɨʂpi,marinawa_34_eyebrow__1
35_breast,tʃutʃu,marinawa_35_breast__1
36_heart,ʊĩti,marinawa_36_heart__1
37_liver,taka,marinawa_37_liver__1
38_intestines,puku,marinawa_38_intestines__1
39_tongue,ada,marinawa_39_tongue__1
40_urine,isõ,marinawa_40_urine__1
41_excrement,pui,marinawa_41_excrement__1
42_blood,ibi,marinawa_42_blood__1
43_nail,utsisi,marinawa_43_nail__1
43_nail,βɨtsisi,marinawa_43_nail__2
44_bellybutton,tokoɾʊʂpi,marinawa_44_bellybutton__1
45_saliva,kɨbo,marinawa_45_saliva__1
46_ankle,taɨ tʃitʃʊkʊ,marinawa_46_ankle__1
47_earring,paɨʂ tabɨti,marinawa_47_earring__1
48_feathercrown,bade ʂɨbɨti,marinawa_48_feathercrown__1
49_menstraditionalrobe,taɾi,marinawa_49_menstraditionalrobe__1
50_necklace,tɨwɨti,marinawa_50_necklace__1
51_armoredcatfish,ipo,marinawa_51_armoredcatfish__1
52_electriceel,kunĩwã,marinawa_52_electriceel__1
53_stingray,iβi,marinawa_53_stingray__1
54_pirarucu,ʃãõ,marinawa_54_pirarucu__1
55_prochilodontidfish,kapiɾiba,marinawa_55_prochilodontidfish__1
56_silvermylossoma,ʂuʂpa,marinawa_56_silvermylossoma__1
57_piranha,bakɨ,marinawa_57_piranha__1
58_catfishpseudoplatystomafasciatum,juɾaʃima,marinawa_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,ɾiβuʂɨa,marinawa_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,ʃimanua,marinawa_60_catfishzungarozungaro__1
61_cichlidsfish,mãj̃,marinawa_61_cichlidsfish__1
62_wildbanana,badi,marinawa_62_wildbanana__1
63_wildgarlic,huwɨtsa,marinawa_63_wildgarlic__1
64_cushcushyam,puwa,marinawa_64_cushcushyam__1
65_sachainchi,sijo,marinawa_65_sachainchi__1
66_peanut,manijã,marinawa_66_peanut__1
67_manioc,juwa,marinawa_67_manioc__1
68_piripiri,ʂɨoti,marinawa_68_piripiri__1
69_cacaotree,tʃaʂo ɾɨʂoɸi,marinawa_69_cacaotree__1
70_mocambotree,dɨsapaβi,marinawa_70_mocambotree__1
71_chestnut,kastaɲã,marinawa_71_chestnut__1
72_cashew,kaʃu,marinawa_72_cashew__1
73_culantro,itsaβati,marinawa_73_culantro__1
74_tobacco,ɾʊbɨ,marinawa_74_tobacco__1
75_peachpalm,ʃini mawa,marinawa_75_peachpalm__1
75_peachpalm,ʃini,marinawa_75_peachpalm__2
76_aguaje,agwahe,marinawa_76_aguaje__1
77_patawa,isa,marinawa_77_patawa__1
78_coconut,kʊkʊ,marinawa_78_coconut__1
79_cocona,pupu,marinawa_79_cocona__1
80_taro,βɨto,marinawa_80_taro__1
