ID,Name,objid,size,Form_ID,mimetype
e7331297daf7a9e7dc458a1c62263f0f,amahuaca_1_agriculturalfield__1.mp3,EAEA0-F113-91B5-A92D-0,12302,amahuaca-1_agriculturalfield-1,audio/mpeg
e5bb718531fc7aab105640a4e298bf93,amahuaca_1_agriculturalfield__1.ogg,EAEA0-F113-91B5-A92D-0,17767,amahuaca-1_agriculturalfield-1,audio/ogg
34abcf4e959c29db2804efa94211af51,amahuaca_1_agriculturalfield__1.wav,EAEA0-F113-91B5-A92D-0,61062,amahuaca-1_agriculturalfield-1,audio/x-wav
c8a276957f9f189c9bac1213ce8aad40,amahuaca_2_abandonedagriculturalfield__1.mp3,EAEA0-D0CA-9B61-29A3-0,11476,amahuaca-2_abandonedagriculturalfield-1,audio/mpeg
6f0d3bd5d42bcac6c8e638d7bdac7ec1,amahuaca_2_abandonedagriculturalfield__1.ogg,EAEA0-D0CA-9B61-29A3-0,15180,amahuaca-2_abandonedagriculturalfield-1,audio/ogg
fc29d3a3dd29de933d6bae61ee5739fb,amahuaca_2_abandonedagriculturalfield__1.wav,EAEA0-D0CA-9B61-29A3-0,56838,amahuaca-2_abandonedagriculturalfield-1,audio/x-wav
4eda2ae1b32afcd6065524a98b25433e,amahuaca_3_russetbackedoropendola__1.mp3,EAEA0-8378-CAD3-2509-0,12725,amahuaca-3_russetbackedoropendola-1,audio/mpeg
459eb1938b8c803546d3acf15592fc5c,amahuaca_3_russetbackedoropendola__1.ogg,EAEA0-8378-CAD3-2509-0,15901,amahuaca-3_russetbackedoropendola-1,audio/ogg
f54bce0ca6663a10f378d12e14fc49c2,amahuaca_3_russetbackedoropendola__1.wav,EAEA0-8378-CAD3-2509-0,62478,amahuaca-3_russetbackedoropendola-1,audio/x-wav
5ee043bc4e68944ae409349ec9f2a9e6,amahuaca_3_russetbackedoropendola__2.mp3,EAEA0-DA33-11E1-1338-0,19416,amahuaca-3_russetbackedoropendola-2,audio/mpeg
f25f66090be24bc8fe70c513b4faaed6,amahuaca_3_russetbackedoropendola__2.ogg,EAEA0-DA33-11E1-1338-0,23182,amahuaca-3_russetbackedoropendola-2,audio/ogg
e9ca73f13d669f0d6501a3f6d7af58b2,amahuaca_3_russetbackedoropendola__2.wav,EAEA0-DA33-11E1-1338-0,99612,amahuaca-3_russetbackedoropendola-2,audio/x-wav
3fba172bd8e5c8cbe70549174f632919,amahuaca_4_scarletmacaw__1.mp3,EAEA0-3CB7-1B4A-4240-0,11462,amahuaca-4_scarletmacaw-1,audio/mpeg
3bc469dcb65fd5d9be8e96e991728d21,amahuaca_4_scarletmacaw__1.ogg,EAEA0-3CB7-1B4A-4240-0,18242,amahuaca-4_scarletmacaw-1,audio/ogg
318d1e03c63fa9fbd9b268fd70a49f0e,amahuaca_4_scarletmacaw__1.wav,EAEA0-3CB7-1B4A-4240-0,55766,amahuaca-4_scarletmacaw-1,audio/x-wav
c79832c11cf1e2cd5c27c5e5cc528444,amahuaca_5_whitethroatedtoucan__1.mp3,EAEA0-68E4-2FA7-0702-0,16484,amahuaca-5_whitethroatedtoucan-1,audio/mpeg
7f2a9bee34a68691e0fb11e5f06412c8,amahuaca_5_whitethroatedtoucan__1.ogg,EAEA0-68E4-2FA7-0702-0,17862,amahuaca-5_whitethroatedtoucan-1,audio/ogg
23ef52fd9183545726aca13c437fe228,amahuaca_5_whitethroatedtoucan__1.wav,EAEA0-68E4-2FA7-0702-0,83378,amahuaca-5_whitethroatedtoucan-1,audio/x-wav
74e0222d19abd6a5dfbcde276c5f845e,amahuaca_6_spixsguan__1.mp3,EAEA0-7C0C-C3CA-681F-0,14385,amahuaca-6_spixsguan-1,audio/mpeg
ca28525ae6b688b27c847465d5ac5b06,amahuaca_6_spixsguan__1.ogg,EAEA0-7C0C-C3CA-681F-0,17064,amahuaca-6_spixsguan-1,audio/ogg
e8239577d50065112ac373e4c93bd89c,amahuaca_6_spixsguan__1.wav,EAEA0-7C0C-C3CA-681F-0,73492,amahuaca-6_spixsguan-1,audio/x-wav
0c720971bd87553a352e550f590c5894,amahuaca_7_yellowcrownedparrot__1.mp3,EAEA0-8367-F950-7514-0,14810,amahuaca-7_yellowcrownedparrot-1,audio/mpeg
8d881127f2a6739702076fcb14399815,amahuaca_7_yellowcrownedparrot__1.ogg,EAEA0-8367-F950-7514-0,16776,amahuaca-7_yellowcrownedparrot-1,audio/ogg
7273b124fbc9cd98131323a1421a4b92,amahuaca_7_yellowcrownedparrot__1.wav,EAEA0-8367-F950-7514-0,75614,amahuaca-7_yellowcrownedparrot-1,audio/x-wav
23085a1fef27a84018b1c08ceddb2368,amahuaca_8_bluewingedparrotlet__1.mp3,EAEA0-D0B8-3B2C-7E58-0,12723,amahuaca-8_bluewingedparrotlet-1,audio/mpeg
75a7f2eab3103d724316b6d9d2452eb6,amahuaca_8_bluewingedparrotlet__1.ogg,EAEA0-D0B8-3B2C-7E58-0,15704,amahuaca-8_bluewingedparrotlet-1,audio/ogg
d3f4133b02b2e72641745afb3f363d4c,amahuaca_8_bluewingedparrotlet__1.wav,EAEA0-D0B8-3B2C-7E58-0,63976,amahuaca-8_bluewingedparrotlet-1,audio/x-wav
029b85871d0af7d118afadeb903ffff5,amahuaca_9_ringedkingfisher__1.mp3,EAEA0-723A-D635-F187-0,21090,amahuaca-9_ringedkingfisher-1,audio/mpeg
