ID,Name,Concepticon_ID,Concepticon_Gloss,Local_ID,Spanish_Gloss,Scientific_Name,Concepticon_SemanticField
1_agriculturalfield,agricultural field,212,FIELD,1,chacra,,Agriculture and vegetation
2_abandonedagriculturalfield,abandoned agricultural field,,,2,purma,,Agriculture and vegetation
3_russetbackedoropendola,russet-backed oropendola,,,3,paucar,Psarocolius angustifrons.,Animals
4_scarletmacaw,scarlet macaw,,,4,guacamayo,Ara macao,Animals
4x1_redscarletmacaw,red scarlet macaw,,,4_1,guacamayo (rojo),Ara macao,Animals
4x2_blueyellowscarletmacaw,blue-yellow scarlet macaw,,,4_2,guacamayo (azul-amarillo),Ara macao,Animals
5_whitethroatedtoucan,white throated toucan,,,5,tucán,Ramphastos tucanus,Animals
5x1_bigwhitethroatedtoucan,big white throated toucan,,,5_1,tucán grande,Ramphastos tucanus,Animals
5x2_littlewhitethroatedtoucan,little white throated toucan,,,5_2,tucán pequeño,Ramphastos tucanus,Animals
6_spixsguan,Spix's guan,,,6,pucacunga,Penelope jacquacu,Animals
7_yellowcrownedparrot,yellow crowned parrot,,,7,aurora,Amazona ochrocephala,Animals
8_bluewingedparrotlet,bluewinged parrotlet,,,8,pihuicho,Forpus xanthopterygius,Animals
9_ringedkingfisher,ringed kingfisher,,,9,martín pescador,Megaceryle torquata,Animals
10_greatkiskadee,Great kiskadee,,,10,víctor díaz,Pitangus sulphuratus,Animals
11_head,head,1256,HEAD,11,cabeza,,The body
12_tooth,tooth,1380,TOOTH,12,diente,,The body
13_hand,hand,1277,HAND,13,mano,,The body
14_face,face,1560,FACE,14,cara,,The body
15_eye,eye,1248,EYE,15,ojo,,The body
16_nose,nose,1221,NOSE,16,nariz,,The body
17_mouth,mouth,674,MOUTH,17,boca,,The body
18_foot,foot,1301,FOOT,18,pie,,The body
19_neck,neck,1333,NECK,19,cuello,,The body
20_ear,ear,1247,EAR,20,orejas,,The body
21_shoulder,shoulder,1482,SHOULDER,21,hombro,,The body
22_arm,arm,1673,ARM,22,brazo,,The body
23_chest,chest,1592,CHEST,23,pecho,,The body
24_belly,belly,1251,BELLY,24,barriga,,The body
25_leg,leg,1297,LEG,25,piernas,,The body
26_penis,penis,1222,PENIS,26,pene,,The body
27_vagina,vagina,1836,VAGINA,27,vagina,,The body
28_buttock,buttock,834,BUTTOCKS,28,nalga,,The body
29_hair,hair,2648,HAIR (HEAD),29,pelo,,The body
30_finger,finger,1303,FINGER,30,dedos de mano,,The body
30x1_fingerortoe,finger or toe,2120,FINGER OR TOE,30_1,dedos,,The body
31_toe,toe,1389,TOE,31,dedos de pie,,The body
32_back,back,1291,BACK,32,espalda,,The body
33_knee,knee,1371,KNEE,33,rodilla,,The body
34_eyebrow,eyebrow,1173,EYEBROW,34,cejas,,The body
35_breast,breast,1402,BREAST,35,senos,,The body
36_heart,heart,1223,HEART,36,corazón,,The body
37_liver,liver,1224,LIVER,37,hígado,,The body
38_intestines,intestines,1991,INTESTINES,38,intestinos,,The body
39_tongue,tongue,1205,TONGUE,39,lengua,,The body
40_urine,urine,1142,URINE,40,orine/orina,,The body
41_excrement,excrement,675,FAECES (EXCREMENT),41,heces/excremento,,The body
42_blood,blood,946,BLOOD,42,sangre,,The body
43_nail,nail,1896,FINGERNAIL OR TOENAIL,43,uñas,,The body
44_bellybutton,belly button,1838,NAVEL,44,ombligo,,The body
45_saliva,saliva,1503,SALIVA,45,saliva,,The body
46_ankle,ankle,803,ANKLE,46,tobillo,,The body
47_earring,earring,770,EARRING,47,arete,,Clothing and grooming
48_feathercrown,feather crown,,,48,corona de plumas,,Clothing and grooming
49_menstraditionalrobe,men's traditional robe,,,49,cushma,,Clothing and grooming
50_necklace,necklace,1961,NECKLACE,50,collar,,Clothing and grooming
51_armoredcatfish,armored catfish,,,51,carachama,Hypostomus sp.,Animals
52_electriceel,electric eel,2443,ELECTRIC EEL,52,anguila,Electrophorus electricus,Animals
53_stingray,stingray,1910,STINGRAY,53,raya,Potamotrygoncastexi,Animals
54_pirarucu,pirarucu,,,54,paiche,Arapaima gigas,Animals
55_prochilodontidfish,prochilodontid fish,,,55,boquichico,Prochilodus sp.,Animals
56_silvermylossoma,silver mylossoma,,,56,palometa,Mylossoma duriventre,Animals
57_piranha,piranha,317,PIRANHA,57,piraña,Serrasalmus nigricans,Animals
58_catfishpseudoplatystomafasciatum,catfish (Pseudoplatystoma fasciatum),,,58,doncella,Pseudoplatystoma fasciatum,Animals
59_catfishcallichthyscallichthys,catfish (Callichthys Callichthys),,,59,bagre,Callichthys Callichthys,Animals
60_catfishzungarozungaro,catfish (Zungaro zungaro),,,60,zúngaro,Zungaro zungaro,Animals
61_cichlidsfish,cichlids fish,,,61,bujurqui,Bujurquina cordemadi,Animals
62_wildbanana,wild banana,,,62,bijao,Calathea lutea,Animals
63_wildgarlic,wild garlic,,,63,ajosacha,Mansoa alliacea (Lam.) A Gentry,Agriculture and vegetation
64_cushcushyam,cush-cush yam,,,64,sachapapa,Dioscorea sp,Agriculture and vegetation
65_sachainchi,sacha inchi,,,65,sachainchi,Plukenetia volubilis,Agriculture and vegetation
66_peanut,peanut,595,GROUNDNUT (PEANUT),66,maní,Arachis hypogaea L,Agriculture and vegetation
67_manioc,manioc,925,CASSAVA,67,yuca,Manihot esculenta,Agriculture and vegetation
68_piripiri,piripiri,,,68,piripiri,Cyperus sp.,Agriculture and vegetation
69_cacaotree,cacao tree,,,69,cacao,Theobroma cacao L.,Agriculture and vegetation
70_mocambotree,mocambo tree,,,70,macambo,Theobroma bicolor,Agriculture and vegetation
71_chestnut,chestnut,2318,CHESTNUT,71,castaña,Castanea sativa,Agriculture and vegetation
72_cashew,cashew,2441,CASHEW,72,cashew/marañón,Anacardium occidentale,Agriculture and vegetation
73_culantro,culantro,,,73,sachaculantro,Eryngium foetidum,Agriculture and vegetation
74_tobacco,tobacco,974,TOBACCO,74,tabaco,Nicotiana tabacum,Agriculture and vegetation
75_peachpalm,peach palm,3919,PEACH PALM,75,pijuayo,Bactris gasipaes,Agriculture and vegetation
76_aguaje,aguaje,,,76,aguaje,Mauritia flexuosa,Agriculture and vegetation
77_patawa,patawa,,,77,ungurahui,Oenucarpus bataua,Agriculture and vegetation
78_coconut,coconut,970,COCONUT,78,coco,Cocos nucifera,Agriculture and vegetation
79_cocona,cocona,,,79,cocona,Solanum sessiliflorum,Agriculture and vegetation
