param_id,form,audio
1_agriculturalfield,imi,shawi_1_agriculturalfield__1
2_abandonedagriculturalfield,pahkanan,shawi_2_abandonedagriculturalfield__1
3_russetbackedoropendola,ʃiɾʊ,shawi_3_russetbackedoropendola__1
4_scarletmacaw,iβi,shawi_4_scarletmacaw__1
5_whitethroatedtoucan,juʔwi,shawi_5_whitethroatedtoucan__1
6_spixsguan,paʔpaɾa,shawi_6_spixsguan__1
7_yellowcrownedparrot,ʃaʔwɨ,shawi_7_yellowcrownedparrot__1
8_bluewingedparrotlet,ʃuʔwiʔ,shawi_8_bluewingedparrotlet__1
9_ringedkingfisher,sasaʔ,shawi_9_ringedkingfisher__1
10_greatkiskadee,ʃiʔtewi,shawi_10_greatkiskadee__1
11_head,muhtuʔ,shawi_11_head__1
12_tooth,natɨk,shawi_12_tooth__1
13_hand,imiɾaʔ,shawi_13_hand__1
14_face,jaʔpiɾaʔ,shawi_14_face__1
15_eye,jaʔpiɾa,shawi_15_eye__1
16_nose,nitɨʔ,shawi_16_nose__1
17_mouth,nanan,shawi_17_mouth__1
18_foot,nantɨ,shawi_18_foot__1
19_neck,kuno,shawi_19_neck__1
20_ear,wɨɾatɨ,shawi_20_ear__1
21_shoulder,iɾaʔpate,shawi_21_shoulder__1
22_arm,tampa,shawi_22_arm__1
23_chest,tɘʔtɘtɘ,shawi_23_chest__1
24_belly,juʔnan,shawi_24_belly__1
25_leg,tunaʔ,shawi_25_leg__1
26_penis,teʔneʔ,shawi_26_penis__1
27_vagina,iʔno,shawi_27_vagina__1
28_buttock,katantɨ,shawi_28_buttock__1
29_hair,ain,shawi_29_hair__1
30_finger,imiɾa,shawi_30_finger__1
31_toe,imiɾaɾante,shawi_31_toe__1
32_back,pinɨn,shawi_32_back__1
33_knee,tuʔtuβite,shawi_33_knee__1
34_eyebrow,waʃi,shawi_34_eyebrow__1
35_breast,ʃuʔʃuʔ,shawi_35_breast__1
36_heart,ninoβi,shawi_36_heart__1
37_liver,kaŋkan,shawi_37_liver__1
38_intestines,tʃiʔtʃiʔβite,shawi_38_intestines__1
39_tongue,neneɾa,shawi_39_tongue__1
40_urine,ijaj,shawi_40_urine__1
41_excrement,tʃiʔtʃiʔ,shawi_41_excrement__1
42_blood,wɨnaj,shawi_42_blood__1
43_nail,tuʔtuɾate,shawi_43_nail__1
44_bellybutton,imɨɾaʔ,shawi_44_bellybutton__1
45_saliva,iɾui,shawi_45_saliva__1
46_ankle,kaʔjuiɾa,shawi_46_ankle__1
47_earring,pɨʔtuwɨɾate,shawi_47_earring__1
48_feathercrown,pɨʔtomɨhtʊʔ,shawi_48_feathercrown__1
50_necklace,pɨʔpɨkunu,shawi_50_necklace__1
51_armoredcatfish,waɾahteʔ,shawi_51_armoredcatfish__1
52_electriceel,kuʔkuni,shawi_52_electriceel__1
53_stingray,mijʊki,shawi_53_stingray__1
55_prochilodontidfish,waŋki,shawi_55_prochilodontidfish__1
56_silvermylossoma,ʃihtɨʔ,shawi_56_silvermylossoma__1
57_piranha,ʃiteʔ,shawi_57_piranha__1
58_catfishpseudoplatystomafasciatum,jaʔwaŋsamiʔ,shawi_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tuʔwaŋ,shawi_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,jaʔwansami,shawi_60_catfishzungarozungaro__1
61_cichlidsfish,aju,shawi_61_cichlidsfish__1
62_wildbanana,antamu,shawi_62_wildbanana__1
63_wildgarlic,anaŋna,shawi_63_wildgarlic__1
64_cushcushyam,tanaŋmaʔmaʔ,shawi_64_cushcushyam__1
65_sachainchi,niʔtampi,shawi_65_sachainchi__1
66_peanut,nanpijʊn,shawi_66_peanut__1
67_manioc,kiʔʃaʔ,shawi_67_manioc__1
68_piripiri,waʔsawɨɾun,shawi_68_piripiri__1
69_cacaotree,mahkinampi,shawi_69_cacaotree__1
70_mocambotree,mahki,shawi_70_mocambotree__1
72_cashew,pa:wa,shawi_72_cashew__1
73_culantro,kuɾanturɯ,shawi_73_culantro__1
74_tobacco,nuninpɨnani,shawi_74_tobacco__1
75_peachpalm,uʔjaβi,shawi_75_peachpalm__1
76_aguaje,ʃiʔpi,shawi_76_aguaje__1
77_patawa,ʃinaɾa,shawi_77_patawa__1
78_coconut,kukuʔ,shawi_78_coconut__1
79_cocona,uʔkuʔnapi,shawi_79_cocona__1
80_taro,juʔwikaɾa,shawi_80_taro__1
81_stranglerfig,ninan,shawi_81_stranglerfig__1
83_giantceibatree,ninan,shawi_83_giantceibatree__1
84_cedar,nu:naɾaʔ,shawi_84_cedar__1
85_mahogany,santʃiɾun,shawi_85_mahogany__1
86_annatto,nampituwa̰,shawi_86_annatto__1
87_huito,isaʔ,shawi_87_huito__1
88_lepidocaryumtenue,kanki:,shawi_88_lepidocaryumtenue__1
89_soapapple,taʔkun,shawi_89_soapapple__1
91_hotpepper,ʃaʔpinuŋka,shawi_91_hotpepper__1
92_wayruru,amuɾiɾe,shawi_92_wayruru__1
93_maniocdrink,wɨnoʔ,shawi_93_maniocdrink__1
94_plantaindrink,kajawi,shawi_94_plantaindrink__1
95_fishbasedfood,akiɾwa,shawi_95_fishbasedfood__1
96_arrow,tawɨɾini,shawi_96_arrow__1
97_bow,pɨʔtʃina,shawi_97_bow__1
98_harpoon,waʔtupaʔ,shawi_98_harpoon__1
99_fishtrap,riti,shawi_99_fishtrap__1
100_spear,nansaʔ,shawi_100_spear__1
101_temporaryshelter,miʔtajɯʔ,shawi_101_temporaryshelter__1
102_blowgun,pɨhtunan,shawi_102_blowgun__1
103_shotgun,iɾaʔpaʔ,shawi_103_shotgun__1
104_fishinghook,juʔnana,shawi_104_fishinghook__1
105_fishpoisonvine,pɨnani,shawi_105_fishpoisonvine__1
106_fishpoisonshrub,ahkawa,shawi_106_fishpoisonshrub__1
107_chaman,pɨnutun,shawi_107_chaman__1
108_healer,namitʊn,shawi_108_healer__1
109_song,aja,shawi_109_song__1
110_design,niʃinan,shawi_110_design__1
111_perforation,nipɨʔtuɾusaʔ,shawi_111_perforation__1
112_ayahuasca,kaʔpiʔ,shawi_112_ayahuasca__1
113_angelstears,wɨʔiwɨɾun,shawi_113_angelstears__1
115_berrybugs,tuʔʃin,shawi_115_berrybugs__1
116_southamericanpalmweevillarva,ʃuniʔ,shawi_116_southamericanpalmweevillarva__1
117_louse,temɨn,shawi_117_louse__1
118_wasp,kaŋkaŋ,shawi_118_wasp__1
119_bulletant,iʔsʊ,shawi_119_bulletant__1
120_dragonfly,kanʃu,shawi_120_dragonfly__1
121_butterfly,aʃuɾahteʔ,shawi_121_butterfly__1
122_mosquito,ikʊʔ,shawi_122_mosquito__1
123_leafcutterant,bʷɨnɨmʊhtʊ,shawi_123_leafcutterant__1
124_spider,iʔsimbi,shawi_124_spider__1
125_father,ta:taʔ,shawi_125_father__1
126_mother,mama,shawi_126_mother__1
127_brotherofman,ijamaʃu,shawi_127_brotherofman__1
128_manssister,uhʃiwaja,shawi_128_manssister__1
129_womansbrother,juʔjumaʃu,shawi_129_womansbrother__1
130_womanssister,kaiʔ,shawi_130_womanssister__1
131_sonofman,wiʔnaw,shawi_131_sonofman__1
132_sonofwoman,kɨnmaβiʔwaʔwaɨ,shawi_132_sonofwoman__1
133_daughterofman,wiʔnawsanapiʔ,shawi_133_daughterofman__1
134_daughterofwoman,waʔwawsanapiʔ,shawi_134_daughterofwoman__1
135_river,iʔʃana,shawi_135_river__1
136_lagoon,sunwanteʔ,shawi_136_lagoon__1
137_sun,piʔi,shawi_137_sun__1
138_moon,jʊʔkiʔ,shawi_138_moon__1
139_rain,uʔna,shawi_139_rain__1
140_cloud,ʃituɾuʔ,shawi_140_cloud__1
141_mountain,ta:nan,shawi_141_mountain__1
142_lightning,uʔkuɾi,shawi_142_lightning__1
143_thunder,βiɾa,shawi_143_thunder__1
144_rock,naʔpiʔ,shawi_144_rock__1
145_leaf,wɨɾon,shawi_145_leaf__1
146_fire,pɨ:n,shawi_146_fire__1
147_water,iʔʃaʔ,shawi_147_water__1
148_star,tajuɾaʔ,shawi_148_star__1
149_soilearth,nuʔpaʔ,shawi_149_soilearth__1
150_tapir,pawaɾaʔ,shawi_150_tapir__1
151_agouti,ihteʔ,shawi_151_agouti__1
152_lowlandpaca,i:pi,shawi_152_lowlandpaca__1
153_whitelippedpeccary,naman,shawi_153_whitelippedpeccary__1
154_capybara,tuʔkusu,shawi_154_capybara__1
155_jaguar,niʔnimaʃuʔ,shawi_155_jaguar__1
156_spidermonkey,tuʔjaʔ,shawi_156_spidermonkey__1
157_redhowleraullador,pihtʃuʔ,shawi_157_redhowleraullador__1
158_redhowlercotomono,awi,shawi_158_redhowlercotomono__1
159_southamericancoati,ʃuhʃuʔ,shawi_159_southamericancoati__1
160_nancymasnightmonkey,kuwi,shawi_160_nancymasnightmonkey__1
161_squirrelmonkeyfrailecillo,iʔsɨ̃ʔ,shawi_161_squirrelmonkeyfrailecillo__1
162_squirrelmonkeymartin,kuwaʃa,shawi_162_squirrelmonkeymartin__1
163_amazonriverdolphin,sapanaʔ,shawi_163_amazonriverdolphin__1
164_sloth,tiβin,shawi_164_sloth__1
165_armadillo,tekmɨʃawɨ,shawi_165_armadillo__1
166_anteater,ʃiku,shawi_166_anteater__1
167_tamanduaanteater,ʃiβi,shawi_167_tamanduaanteater__1
168_woollymonkey,tuʔjaʔ,shawi_168_woollymonkey__1
170_fabric,nɘʔmɘhte,shawi_170_fabric__1
172_pitcher,uɾinan,shawi_172_pitcher__1
173_dye,paʔʃinan,shawi_173_dye__1
174_tattoo,nuwa,shawi_174_tattoo__1
175_house,pɨi,shawi_175_house__1
176_quena,kinaʔ,shawi_176_quena__1
177_drum,tampuɾu,shawi_177_drum__1
178_manguare,iɾinan,shawi_178_manguare__1
179_one,aʔnaɾa,shawi_179_one__1
180_two,kahtu,shawi_180_two__1
181_three,kaɾaʔ,shawi_181_three__1
182_four,kaʔtaβini,shawi_182_four__1
183_five,aʔnateɾapuʔ,shawi_183_five__1
185_several,naʔkʊn,shawi_185_several__1
186_countryfellow,kampupijaβi,shawi_186_countryfellow__1
187_foreign,kɨɾinkuʔ,shawi_187_foreign__1
188_language,nuŋniwaɾu,shawi_188_language__1
189_man,kɨnmawi,shawi_189_man__1
190_woman,sanawi,shawi_190_woman__1
191_i,ka:,shawi_191_i__1
192_you2sg,kɨmaʔ,shawi_192_you2sg__1
193_heshe,inaʔ,shawi_193_heshe__1
