param_id,form,audio
1_agriculturalfield,waj,iskonahua_1_agriculturalfield__1
2_abandonedagriculturalfield,nawɨ,iskonahua_2_abandonedagriculturalfield__1
4_scarletmacaw,hãwã,iskonahua_4_scarletmacaw__1
4_scarletmacaw,kãnᵈã,iskonahua_4_scarletmacaw__2
5_whitethroatedtoucan,hukɨ,iskonahua_5_whitethroatedtoucan__1
6_spixsguan,kɨβo,iskonahua_6_spixsguan__1
7_yellowcrownedparrot,bawa,iskonahua_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pit͡su,iskonahua_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃaɾaʃ,iskonahua_9_ringedkingfisher__1
11_head,buhka,iskonahua_11_head__1
12_tooth,hɨta,iskonahua_12_tooth__1
13_hand,bɨbi,iskonahua_13_hand__1
14_face,bɨmanaʔ,iskonahua_14_face__1
15_eye,bɨɾu,iskonahua_15_eye__1
16_nose,ɾɨkĩ,iskonahua_16_nose__1
17_mouth,kɨha,iskonahua_17_mouth__1
18_foot,taɨ,iskonahua_18_foot__1
19_neck,tɨkaʔ,iskonahua_19_neck__1
20_ear,paβĩkiʔ,iskonahua_20_ear__1
21_shoulder,hawã tɨʃpaβi,iskonahua_21_shoulder__1
22_arm,puɲã,iskonahua_22_arm__1
23_chest,hunt͡ʃi,iskonahua_23_chest__1
24_belly,nahβa,iskonahua_24_belly__1
25_leg,kiʃiʔ,iskonahua_25_leg__1
26_penis,βuʃki,iskonahua_26_penis__1
27_vagina,maʃpi,iskonahua_27_vagina__1
28_buttock,puiŋki,iskonahua_28_buttock__1
29_hair,βu,iskonahua_29_hair__1
30_finger,mɨβi haku,iskonahua_30_finger__1
31_toe,taɨ haku,iskonahua_31_toe__1
32_back,pɨtʃi,iskonahua_32_back__1
33_knee,ɾatuhku,iskonahua_33_knee__1
34_eyebrow,βɨʃpi,iskonahua_34_eyebrow__1
35_breast,huma,iskonahua_35_breast__1
36_heart,uinti,iskonahua_36_heart__1
37_liver,taka,iskonahua_37_liver__1
38_intestines,puku,iskonahua_38_intestines__1
39_tongue,anᵈa,iskonahua_39_tongue__1
40_urine,isojn,iskonahua_40_urine__1
41_excrement,pui,iskonahua_41_excrement__1
42_blood,imᵇi,iskonahua_42_blood__1
43_nail,intsis,iskonahua_43_nail__1
44_bellybutton,tõnkõ,
45_saliva,kɨmu,iskonahua_45_saliva__1
46_ankle,upuhku,iskonahua_46_ankle__1
47_earring,paɾahiti,iskonahua_47_earring__1
48_feathercrown,maiti,iskonahua_48_feathercrown__1
49_menstraditionalrobe,taɾi,iskonahua_49_menstraditionalrobe__1
50_necklace,t͡ʃopɨ,iskonahua_50_necklace__1
51_armoredcatfish,ipu,iskonahua_51_armoredcatfish__1
52_electriceel,kunĩwã,iskonahua_52_electriceel__1
53_stingray,iwi,iskonahua_53_stingray__1
54_pirarucu,wamᵇɨ,iskonahua_54_pirarucu__1
55_prochilodontidfish,buɨ,iskonahua_55_prochilodontidfish__1
57_piranha,makɨ,iskonahua_57_piranha__1
58_catfishpseudoplatystomafasciatum,βawĩ,iskonahua_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tũnũ,iskonahua_59_catfishcallichthyscallichthys__1
61_cichlidsfish,mãj̃,iskonahua_61_cichlidsfish__1
62_wildbanana,mani,iskonahua_62_wildbanana__1
66_peanut,tamᵇa,iskonahua_66_peanut__1
67_manioc,atsa,iskonahua_67_manioc__1
68_piripiri,mɨkiɾau,iskonahua_68_piripiri__1
69_cacaotree,nɨsa pɨt͡ʃabi,iskonahua_69_cacaotree__1
70_mocambotree,iβi ɾɨhaβi,iskonahua_70_mocambotree__1
72_cashew,bɨʃki tɨt͡ʃuɾu,iskonahua_72_cashew__1
74_tobacco,ɾumɨ,
75_peachpalm,wãnĩ,iskonahua_75_peachpalm__1
76_aguaje,wĩnõn,iskonahua_76_aguaje__1
77_patawa,isã,iskonahua_77_patawa__1
78_coconut,koko,iskonahua_78_coconut__1
79_cocona,popo,iskonahua_79_cocona__1
80_taro,ɾunu tɨntobiʔ,iskonahua_80_taro__1
81_stranglerfig,ĩntʃibi,iskonahua_81_stranglerfig__1
82_camucamu,kamu kamu,iskonahua_82_camucamu__1
84_cedar,wiʃtinipɪ,iskonahua_84_cedar__1
86_annatto,ɨtɨ βimi,iskonahua_86_annatto__1
87_huito,t͡ʃɨhɨ βimi,iskonahua_87_huito__1
89_soapapple,itʃabi,iskonahua_89_soapapple__1
91_hotpepper,nutʃi,iskonahua_91_hotpepper__1
92_wayruru,ʃɨpɨ βɨɾo,iskonahua_92_wayruru__1
92_wayruru,hɨpɨ βɨɾo,iskonahua_92_wayruru__2
93_maniocdrink,atsa aja,iskonahua_93_maniocdrink__1
94_plantaindrink,paɾanta aja,iskonahua_94_plantaindrink__1
95_fishbasedfood,kawa,iskonahua_95_fishbasedfood__1
96_arrow,kaβiti,iskonahua_96_arrow__1
97_bow,tɨnkunti,iskonahua_97_bow__1
98_harpoon,kua,iskonahua_98_harpoon__1
100_spear,pĩãŋki,iskonahua_100_spear__1
101_temporaryshelter,tapas,iskonahua_101_temporaryshelter__1
103_shotgun,toatɪ,iskonahua_103_shotgun__1
104_fishinghook,miʃkiti,iskonahua_104_fishinghook__1
105_fishpoisonvine,βaɾβasku,iskonahua_105_fishpoisonvine__1
106_fishpoisonshrub,wakaɾʊmɨ,iskonahua_106_fishpoisonshrub__1
107_chaman,hanubu,iskonahua_107_chaman__1
108_healer,ɾawmbiʂ,iskonahua_108_healer__1
110_design,kɨnᵈɨ,iskonahua_110_design__1
115_berrybugs,ĩpõh,iskonahua_115_berrybugs__1
116_southamericanpalmweevillarva,ʃiʃiwɨ,iskonahua_116_southamericanpalmweevillarva__1
117_louse,ia,
118_wasp,binᵈa,iskonahua_118_wasp__1
119_bulletant,bunᵈa,iskonahua_119_bulletant__1
120_dragonfly,ʃinti,iskonahua_120_dragonfly__1
121_butterfly,popokiɾi,iskonahua_121_butterfly__1
122_mosquito,ʃiu,iskonahua_122_mosquito__1
123_leafcutterant,buna,iskonahua_123_leafcutterant__1
124_spider,ʃina haka,iskonahua_124_spider__1
125_father,ɨpa,iskonahua_125_father__1
126_mother,ɨwa,iskonahua_126_mother__1
127_brotherofman,awɨn wit͡sa,iskonahua_127_brotherofman__1
128_manssister,awɨ nanɨ,iskonahua_128_manssister__1
129_womansbrother,awɨn wit͡sa,iskonahua_129_womansbrother__1
131_sonofman,βakɨ,iskonahua_131_sonofman__1
132_sonofwoman,awɨn towa,iskonahua_132_sonofwoman__1
133_daughterofman,ajnβo βakɨ,iskonahua_133_daughterofman__1
135_river,waka,iskonahua_135_river__1
136_lagoon,iã,iskonahua_136_lagoon__1
137_sun,βaɾi,iskonahua_137_sun__1
138_moon,ohnɨ,iskonahua_138_moon__1
139_rain,ui,iskonahua_139_rain__1
140_cloud,diwɨ,iskonahua_140_cloud__1
141_mountain,maʃiʔ,iskonahua_141_mountain__1
142_lightning,kãnᵈã βiɾi,iskonahua_142_lightning__1
142_lightning,naj tʃambi,iskonahua_142_lightning__2
143_thunder,daj tɨkɨj,iskonahua_143_thunder__1
144_rock,ɾuɨ,iskonahua_144_rock__1
145_leaf,peɨ,iskonahua_145_leaf__1
146_fire,hɨna,
147_water,ɨpaha,iskonahua_147_water__1
148_star,daj t͡ʃamᵇi,iskonahua_148_star__1
149_soilearth,maj,iskonahua_149_soilearth__1
150_tapir,awa,iskonahua_150_tapir__1
151_agouti,βaɾi,iskonahua_151_agouti__1
152_lowlandpaca,mẽkũ,iskonahua_152_lowlandpaca__1
153_whitelippedpeccary,jawaʔ,iskonahua_153_whitelippedpeccary__1
154_capybara,amẽ,iskonahua_154_capybara__1
155_jaguar,inuʔ,iskonahua_155_jaguar__1
156_spidermonkey,isoʔ,iskonahua_156_spidermonkey__1
157_redhowleraullador,ɾu,iskonahua_157_redhowleraullador__1
159_southamericancoati,ʃiʃi,iskonahua_159_southamericancoati__1
160_nancymasnightmonkey,diɾʊ,iskonahua_160_nancymasnightmonkey__1
161_squirrelmonkeyfrailecillo,nãj̃,iskonahua_161_squirrelmonkeyfrailecillo__1
163_amazonriverdolphin,kuʃiʃka,iskonahua_163_amazonriverdolphin__1
165_armadillo,jawiʃ,iskonahua_165_armadillo__1
166_anteater,haɨ,iskonahua_166_anteater__1
168_woollymonkey,naj bakɨβo,iskonahua_168_woollymonkey__1
170_fabric,βatʃi,iskonahua_170_fabric__1
172_pitcher,tʃumᵇa,iskonahua_172_pitcher__1
173_dye,t͡sit͡sa,iskonahua_173_dye__1
175_house,kahɨ,iskonahua_175_house__1
177_drum,aku,iskonahua_177_drum__1
179_one,wistɨwã,iskonahua_179_one__1
180_two,naɾaβɨ,iskonahua_180_two__1
185_several,hɨtʃumamᵇa,iskonahua_185_several__1
185_several,hɨtʃumᵇa,iskonahua_185_several__2
186_countryfellow,kajabu,iskonahua_186_countryfellow__1
187_foreign,nawa,iskonahua_187_foreign__1
188_language,βanᵈa,iskonahua_188_language__1
189_man,iɾaβo,iskonahua_189_man__1
190_woman,ãj̃nβo,iskonahua_190_woman__1
191_i,ɨwa,iskonahua_191_i__1
192_you2sg,mi,iskonahua_192_you2sg__1
193_heshe,ua,iskonahua_193_heshe__1
194_weallincl,nʊ:bʊ,iskonahua_194_weallincl__1
195_weallexcl,aβo,iskonahua_195_weallexcl__1
196_you2pl,miβo,iskonahua_196_you2pl__1
202_few,naɾana,iskonahua_202_few__1
208_southernamericanbushmaster,kamuh,iskonahua_208_southernamericanbushmaster__1
209_lizard,umaʃi,iskonahua_209_lizard__1
210_yellowfootedtortoise,hawɨ,iskonahua_210_yellowfootedtortoise__1
212_amazonriverturtle,tʃaɾapa,iskonahua_212_amazonriverturtle__1
213_anacondas,hɨa mitsa,iskonahua_213_anacondas__1
213_anacondas,mũã hitsa,iskonahua_213_anacondas__2
214_commonlancehead,nasaβãj̃n,iskonahua_214_commonlancehead__1
216_iguana,hɨkɨ,iskonahua_216_iguana__1
218_here,nino,iskonahua_218_here__1
219_there,ũã,iskonahua_219_there__1
219_there,anũhũ,iskonahua_219_there__2
223_machete,nami,iskonahua_223_machete__1
224_hammock,ɾakati,iskonahua_224_hammock__1
225_pipe,ʃinitãpũ,iskonahua_225_pipe__1
226_canoe,monti,iskonahua_226_canoe__1
227_rowing,winti,iskonahua_227_rowing__1
228_basket,kaŋkã,iskonahua_228_basket__1
229_rope,niʃi,iskonahua_229_rope__1
230_plate,sapa,iskonahua_230_plate__1
231_table,misaʔ,iskonahua_231_table__1
232_bed,sintoɾo,iskonahua_232_bed__1
233_strainer,tuati,iskonahua_233_strainer__1
234_fan,pajatɪ,iskonahua_234_fan__1
235_walk,βaj,iskonahua_235_walk__1
238_dance,ɾansaj,iskonahua_238_dance__1
239_sing,ɾɨwi,iskonahua_239_sing__1
240_tellstories,juwi,iskonahua_240_tellstories__1
243_urinate,isũj̃n,iskonahua_243_urinate__1
244_defecate,puj,iskonahua_244_defecate__1
247_work,tɨɨti,iskonahua_247_work__1
