param_id,form,audio
1_agriculturalfield,tʃetsoˀ,yaneshaamuesha_1_agriculturalfield__1
2_abandonedagriculturalfield,tʃetsneɲets,yaneshaamuesha_2_abandonedagriculturalfield__1
3_russetbackedoropendola,tseʐotʃʲ,yaneshaamuesha_3_russetbackedoropendola__1
4_scarletmacaw,kɨˀ,yaneshaamuesha_4_scarletmacaw__1
5_whitethroatedtoucan,tʃaŋkoʂ,yaneshaamuesha_5_whitethroatedtoucan__1
6_spixsguan,ɯepo,yaneshaamuesha_6_spixsguan__1
7_yellowcrownedparrot,pojaʎ,yaneshaamuesha_7_yellowcrownedparrot__1
8_bluewingedparrotlet,ʃabiʎokeˀ,yaneshaamuesha_8_bluewingedparrotlet__1
9_ringedkingfisher,taɾataɾ,yaneshaamuesha_9_ringedkingfisher__1
11_head,oŋets,yaneshaamuesha_11_head__1
12_tooth,asots,yaneshaamuesha_12_tooth__1
13_hand,otats,yaneshaamuesha_13_hand__1
14_face,tsaˀpats,yaneshaamuesha_14_face__1
15_eye,keʎojets,yaneshaamuesha_15_eye__1
16_nose,maʎant,yaneshaamuesha_16_nose__1
17_mouth,naːmats,yaneshaamuesha_17_mouth__1
18_foot,tekats,yaneshaamuesha_18_foot__1
19_neck,tʂenopets,yaneshaamuesha_19_neck__1
20_ear,etats,yaneshaamuesha_20_ear__1
21_shoulder,ʐoːtats,yaneshaamuesha_21_shoulder__1
22_arm,kets,yaneshaamuesha_22_arm__1
23_chest,soːmaʰpʰ,yaneshaamuesha_23_chest__1
24_belly,kotmats,yaneshaamuesha_24_belly__1
25_leg,taːpatʃʲ,yaneshaamuesha_25_leg__1
26_penis,poˀjoɾets,yaneshaamuesha_26_penis__1
27_vagina,ʃakʎapets,yaneshaamuesha_27_vagina__1
28_buttock,keˀnaɾets,yaneshaamuesha_28_buttock__1
29_hair,eːtʃets,yaneshaamuesha_29_hair__1
30_finger,otaʎmets,yaneshaamuesha_30_finger__1
31_toe,tekaʎmets,yaneshaamuesha_31_toe__1
32_back,tʃaɲapʰ,yaneshaamuesha_32_back__1
33_knee,ʎokmets,yaneshaamuesha_33_knee__1
34_eyebrow,tʃekaːtats,yaneshaamuesha_34_eyebrow__1
35_breast,momoɾets,yaneshaamuesha_35_breast__1
36_heart,jotʂaɾetʃʲ,yaneshaamuesha_36_heart__1
37_liver,opanats,yaneshaamuesha_37_liver__1
38_intestines,paˀtʃoɾetʂ,yaneshaamuesha_38_intestines__1
39_tongue,ɲenets,yaneshaamuesha_39_tongue__1
40_urine,otspaɲets,yaneshaamuesha_40_urine__1
41_excrement,tʃomweɲets,yaneshaamuesha_41_excrement__1
42_blood,ʐasats,yaneshaamuesha_42_blood__1
43_nail,ʃetʃeːpats,yaneshaamuesha_43_nail__1
44_bellybutton,moːkets,yaneshaamuesha_44_bellybutton__1
45_saliva,nesnam,yaneshaamuesha_45_saliva__1
46_ankle,ʎokmets,yaneshaamuesha_46_ankle__1
48_feathercrown,tʃojoˀmetʰ,yaneshaamuesha_48_feathercrown__1
49_menstraditionalrobe,ʃetamwets,yaneshaamuesha_49_menstraditionalrobe__1
50_necklace,tseːɾetʃʲ,yaneshaamuesha_50_necklace__1
51_armoredcatfish,meʃetʰ,yaneshaamuesha_51_armoredcatfish__1
52_electriceel,tʃeːβeˀ,yaneshaamuesha_52_electriceel__1
53_stingray,ʃetʃʲom,yaneshaamuesha_53_stingray__1
55_prochilodontidfish,kak,yaneshaamuesha_55_prochilodontidfish__1
58_catfishpseudoplatystomafasciatum,waːβeˀ,yaneshaamuesha_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,ʃeːkoɾ,yaneshaamuesha_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,omaɲeˀ,yaneshaamuesha_60_catfishzungarozungaro__1
61_cichlidsfish,meɾoˀ,yaneshaamuesha_61_cichlidsfish__1
