param_id,form,audio
1_agriculturalfield,bai,cashinahuahunikuin_1_agriculturalfield__1
2_abandonedagriculturalfield,nawɨ,cashinahuahunikuin_2_abandonedagriculturalfield__1
3_russetbackedoropendola,tʃa:na,cashinahuahunikuin_3_russetbackedoropendola__1
4_scarletmacaw,ʃãwãʔ,cashinahuahunikuin_4_scarletmacaw__1
5_whitethroatedtoucan,awa ʂukɨ,cashinahuahunikuin_5_whitethroatedtoucan__1
6_spixsguan,kɨβu,cashinahuahunikuin_6_spixsguan__1
7_yellowcrownedparrot,bawa,cashinahuahunikuin_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pitsu,cashinahuahunikuin_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃaɾaʂ,cashinahuahunikuin_9_ringedkingfisher__1
10_greatkiskadee,tʃakajsa,cashinahuahunikuin_10_greatkiskadee__1
11_head,buʂka,cashinahuahunikuin_11_head__1
12_tooth,ʂɨta,cashinahuahunikuin_12_tooth__1
13_hand,mɨkɨ̃,cashinahuahunikuin_13_hand__1
14_face,bɨsu,cashinahuahunikuin_14_face__1
15_eye,bɨɾʊ,cashinahuahunikuin_15_eye__1
16_nose,ɾɨki,cashinahuahunikuin_16_nose__1
17_mouth,kɨʂa,cashinahuahunikuin_17_mouth__1
18_foot,taɨ,cashinahuahunikuin_18_foot__1
19_neck,tɨʂuʔ,cashinahuahunikuin_19_neck__1
20_ear,pabiŋki,cashinahuahunikuin_20_ear__1
21_shoulder,puntɪ,cashinahuahunikuin_21_shoulder__1
22_arm,pũj̃ã,cashinahuahunikuin_22_arm__1
23_chest,ʂutʃi,cashinahuahunikuin_23_chest__1
24_belly,hatu,cashinahuahunikuin_24_belly__1
25_leg,kiʃiʔ,cashinahuahunikuin_25_leg__1
26_penis,hina,cashinahuahunikuin_26_penis__1
27_vagina,bakɨnantɪ,cashinahuahunikuin_27_vagina__1
28_buttock,tʃiʂu,cashinahuahunikuin_28_buttock__1
29_hair,bu,cashinahuahunikuin_29_hair__1
30_finger,mɨtʊti,cashinahuahunikuin_30_finger__1
31_toe,mɨtʊti,cashinahuahunikuin_31_toe__1
32_back,pɨtʃi,cashinahuahunikuin_32_back__1
33_knee,dãntʊ̃ŋku,cashinahuahunikuin_33_knee__1
34_eyebrow,bɨʂpi,cashinahuahunikuin_34_eyebrow__1
35_breast,tʃutʃuʔ,cashinahuahunikuin_35_breast__1
36_heart,hũĩnti,cashinahuahunikuin_36_heart__1
37_liver,taka,cashinahuahunikuin_37_liver__1
38_intestines,puku,cashinahuahunikuin_38_intestines__1
39_tongue,hana,cashinahuahunikuin_39_tongue__1
40_urine,isunãnti,cashinahuahunikuin_40_urine__1
41_excrement,pui,cashinahuahunikuin_41_excrement__1
42_blood,himi,cashinahuahunikuin_42_blood__1
43_nail,mɨntsis,cashinahuahunikuin_43_nail__1
44_bellybutton,pukunaʂtuʔ,cashinahuahunikuin_44_bellybutton__1
45_saliva,kɨmu,cashinahuahunikuin_45_saliva__1
46_ankle,hupuʂku,cashinahuahunikuin_46_ankle__1
47_earring,pauʔ,cashinahuahunikuin_47_earring__1
48_feathercrown,dani majti,cashinahuahunikuin_48_feathercrown__1
49_menstraditionalrobe,taɾiʔ kɨnɨja,cashinahuahunikuin_49_menstraditionalrobe__1
50_necklace,tɨuti,cashinahuahunikuin_50_necklace__1
51_armoredcatfish,ipʊ,cashinahuahunikuin_51_armoredcatfish__1
52_electriceel,kuni,cashinahuahunikuin_52_electriceel__1
53_stingray,i:,cashinahuahunikuin_53_stingray__1
54_pirarucu,ʂaũmãwã,cashinahuahunikuin_54_pirarucu__1
55_prochilodontidfish,kapiɾima,cashinahuahunikuin_55_prochilodontidfish__1
57_piranha,makɨ,cashinahuahunikuin_57_piranha__1
58_catfishpseudoplatystomafasciatum,bãĩ,cashinahuahunikuin_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tunu,cashinahuahunikuin_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,bakãw̃ã,cashinahuahunikuin_60_catfishzungarozungaro__1
61_cichlidsfish,mãĩ,cashinahuahunikuin_61_cichlidsfish__1
62_wildbanana,maniʔ,cashinahuahunikuin_62_wildbanana__1
63_wildgarlic,buajtsa,cashinahuahunikuin_63_wildgarlic__1
64_cushcushyam,pua,cashinahuahunikuin_64_cushcushyam__1
66_peanut,tamaʔ,cashinahuahunikuin_66_peanut__1
67_manioc,atsa,cashinahuahunikuin_67_manioc__1
68_piripiri,bastɨ,cashinahuahunikuin_68_piripiri__1
69_cacaotree,tʃaʂuũndɨʂa,cashinahuahunikuin_69_cacaotree__1
72_cashew,kaʃuʔ,cashinahuahunikuin_72_cashew__1
73_culantro,kulantɾo,cashinahuahunikuin_73_culantro__1
