param_id,form,audio
1_agriculturalfield,tʃagɾa,pastazakichwa_1_agriculturalfield__1
2_abandonedagriculturalfield,puɾma,pastazakichwa_2_abandonedagriculturalfield__1
3_russetbackedoropendola,pawkaɾ,pastazakichwa_3_russetbackedoropendola__1
4_scarletmacaw,wakamajo,pastazakichwa_4_scarletmacaw__1
5_whitethroatedtoucan,sikwaŋga,pastazakichwa_5_whitethroatedtoucan__1
6_spixsguan,kaɾundzɪ,pastazakichwa_6_spixsguan__1
7_yellowcrownedparrot,daɾandaɾan,pastazakichwa_7_yellowcrownedparrot__1
8_bluewingedparrotlet,piβitʃo,pastazakichwa_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃaɾakata,pastazakichwa_9_ringedkingfisher__1
10_greatkiskadee,kʲitʲjupi,pastazakichwa_10_greatkiskadee__1
11_head,uma,pastazakichwa_11_head__1
12_tooth,kiɾo,pastazakichwa_12_tooth__1
13_hand,maki,pastazakichwa_13_hand__1
14_face,uja,pastazakichwa_14_face__1
15_eye,ɲawi,pastazakichwa_15_eye__1
16_nose,siŋga,pastazakichwa_16_nose__1
17_mouth,ʃimi,pastazakichwa_17_mouth__1
18_foot,tʃaki,pastazakichwa_18_foot__1
19_neck,kuŋka,pastazakichwa_19_neck__1
20_ear,ɾinɾi,pastazakichwa_20_ear__1
21_shoulder,ɾiɣɾa,pastazakichwa_21_shoulder__1
22_arm,maki,pastazakichwa_22_arm__1
23_chest,pitʃo,pastazakichwa_23_chest__1
24_belly,wiksa,pastazakichwa_24_belly__1
25_leg,tʃaŋga,pastazakichwa_25_leg__1
26_penis,uʎo,pastazakichwa_26_penis__1
27_vagina,piŋgaj,pastazakichwa_27_vagina__1
28_buttock,siki,pastazakichwa_28_buttock__1
29_hair,tʃuktʃa,pastazakichwa_29_hair__1
29_hair,aktʃa,pastazakichwa_29_hair__2
30_finger,dido makiwa,pastazakichwa_30_finger__1
31_toe,dido tʃakiwa,pastazakichwa_31_toe__1
32_back,waʃa,pastazakichwa_32_back__1
33_knee,kuŋguɾi,pastazakichwa_33_knee__1
35_breast,tʃutʃo,pastazakichwa_35_breast__1
36_heart,ʃuŋgo,pastazakichwa_36_heart__1
37_liver,ʃuŋgo,pastazakichwa_37_liver__1
38_intestines,tʃundʒuli,pastazakichwa_38_intestines__1
39_tongue,kaʎu,pastazakichwa_39_tongue__1
40_urine,iʃpa,pastazakichwa_40_urine__1
41_excrement,isma,pastazakichwa_41_excrement__1
42_blood,ɾawaj,pastazakichwa_42_blood__1
43_nail,ʃiʎu,pastazakichwa_43_nail__1
44_bellybutton,pupo,pastazakichwa_44_bellybutton__1
45_saliva,tʲuka,pastazakichwa_45_saliva__1
46_ankle,tʃaki muku,pastazakichwa_46_ankle__1
50_necklace,waʎka,pastazakichwa_50_necklace__1
51_armoredcatfish,kaɾatʃama,pastazakichwa_51_armoredcatfish__1
52_electriceel,aŋgidʒa,pastazakichwa_52_electriceel__1
53_stingray,ʐaja,pastazakichwa_53_stingray__1
54_pirarucu,pajtʃi,pastazakichwa_54_pirarucu__1
57_piranha,paɲa,pastazakichwa_57_piranha__1
59_catfishcallichthyscallichthys,kumbaɾama,pastazakichwa_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,suŋgaɾo,pastazakichwa_60_catfishzungarozungaro__1
61_cichlidsfish,kandaʃi,pastazakichwa_61_cichlidsfish__1
61_cichlidsfish,umbundi,pastazakichwa_61_cichlidsfish__2
62_wildbanana,majtuna paŋga,pastazakichwa_62_wildbanana__1
63_wildgarlic,axosatʃa,pastazakichwa_63_wildgarlic__1
64_cushcushyam,satʃapapa,pastazakichwa_64_cushcushyam__1
65_sachainchi,satʃaintʃi,pastazakichwa_65_sachainchi__1
66_peanut,iɲtʃi,pastazakichwa_66_peanut__1
67_manioc,lumo,pastazakichwa_67_manioc__1
68_piripiri,ɾunduma,pastazakichwa_68_piripiri__1
70_mocambotree,wakambo,pastazakichwa_70_mocambotree__1
72_cashew,kaʃo,pastazakichwa_72_cashew__1
73_culantro,kulandɾo,pastazakichwa_73_culantro__1
74_tobacco,tawako,pastazakichwa_74_tobacco__1
75_peachpalm,tʃunda,pastazakichwa_75_peachpalm__1
76_aguaje,muɾiti,pastazakichwa_76_aguaje__1
77_patawa,uŋguɾawi,pastazakichwa_77_patawa__1
78_coconut,koko,pastazakichwa_78_coconut__1
79_cocona,kokona,pastazakichwa_79_cocona__1
80_taro,mandi,pastazakichwa_80_taro__1
81_stranglerfig,taɾtʃi,pastazakichwa_81_stranglerfig__1
83_giantceibatree,lupuna,pastazakichwa_83_giantceibatree__1
85_mahogany,kaʊba,pastazakichwa_85_mahogany__1
86_annatto,atʃote,pastazakichwa_86_annatto__1
87_huito,wito,pastazakichwa_87_huito__1
88_lepidocaryumtenue,iɾapaɪ,pastazakichwa_88_lepidocaryumtenue__1
89_soapapple,sapote,pastazakichwa_89_soapapple__1
