param_id,form,audio
1_agriculturalfield,inɛ,yagua_1_agriculturalfield__1
2_abandonedagriculturalfield,iɾipʰõ,yagua_2_abandonedagriculturalfield__1
3_russetbackedoropendola,tapɘnɛ,yagua_3_russetbackedoropendola__1
4_scarletmacaw,hapã,yagua_4_scarletmacaw__1
5_whitethroatedtoucan,nʊwa,yagua_5_whitethroatedtoucan__1
6_spixsguan,pʊ̃ʊ̃waɛ̯,yagua_6_spixsguan__1
7_yellowcrownedparrot,kɾɪatʲo,yagua_7_yellowcrownedparrot__1
8_bluewingedparrotlet,kæsejtʲo,yagua_8_bluewingedparrotlet__1
9_ringedkingfisher,itɪnã,yagua_9_ringedkingfisher__1
10_greatkiskadee,tᵊpʷəɲã,yagua_10_greatkiskadee__1
11_head,rino,yagua_11_head__1
12_tooth,hãnã,yagua_12_tooth__1
13_hand,nẽhãbãtõ,yagua_13_hand__1
14_face,ʐeno,yagua_14_face__1
15_eye,raɲĩsɪ,yagua_15_eye__1
16_nose,ranũ,yagua_16_nose__1
17_mouth,ʐɪto,yagua_17_mouth__1
18_foot,animʊtʊ,yagua_18_foot__1
19_neck,r̥etᵊno,yagua_19_neck__1
20_ear,ratiwã,yagua_20_ear__1
21_shoulder,r̥enetõʰõ,yagua_21_shoulder__1
22_arm,ʐehasɛ,yagua_22_arm__1
23_chest,rɛhɛsjɛ,yagua_23_chest__1
24_belly,ðepenɛ,yagua_24_belly__1
25_leg,r̥ɛbɛnaɛ̯,yagua_25_leg__1
26_penis,rãpw̃ɛ̃,yagua_26_penis__1
27_vagina,naŋkaçi,yagua_27_vagina__1
28_buttock,atɪ̃nɪ̃,yagua_28_buttock__1
29_hair,rinohasɛ̃,yagua_29_hair__1
30_finger,rana,yagua_30_finger__1
31_toe,rana,yagua_31_toe__1
32_back,ɾatɨ̯asa,yagua_32_back__1
33_knee,r̥ar̥õsɛ̃,yagua_33_knee__1
34_eyebrow,ẽnõhãsi,yagua_34_eyebrow__1
35_breast,r̥itãː,yagua_35_breast__1
36_heart,sahɛ̃tɨ̃ãbẽ,yagua_36_heart__1
37_liver,tsʊwato,yagua_37_liver__1
38_intestines,ðaskɨɾɪ,yagua_38_intestines__1
39_tongue,ɾãnẽtʃi,yagua_39_tongue__1
40_urine,kaʃʲĩwã,yagua_40_urine__1
41_excrement,ɾakʲinãː,yagua_41_excrement__1
42_blood,sandã,yagua_42_blood__1
43_nail,rãsmãnã,yagua_43_nail__1
44_bellybutton,sɪtʃmɔ̃,yagua_44_bellybutton__1
45_saliva,jãʊ̃tõcj̃ɛ̃,yagua_45_saliva__1
46_ankle,r̥ar̥osɪ,yagua_46_ankle__1
47_earring,tʊwãçje,yagua_47_earring__1
48_feathercrown,pɾenʊ,yagua_48_feathercrown__1
49_menstraditionalrobe,deso,yagua_49_menstraditionalrobe__1
50_necklace,mãɾtʃjõ,yagua_50_necklace__1
51_armoredcatfish,wãja,yagua_51_armoredcatfish__1
52_electriceel,natɪ,yagua_52_electriceel__1
53_stingray,r̥atʊ,yagua_53_stingray__1
54_pirarucu,ʃamʊ̃,yagua_54_pirarucu__1
55_prochilodontidfish,kəɾimata,yagua_55_prochilodontidfish__1
56_silvermylossoma,nɪmjʊtʊ,yagua_56_silvermylossoma__1
57_piranha,mɪtʲotʊ,yagua_57_piranha__1
58_catfishpseudoplatystomafasciatum,çuɾɪ,yagua_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,kantjunʃi,yagua_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,nəbɪsuɾi,yagua_60_catfishzungarozungaro__1
61_cichlidsfish,kanɛː,yagua_61_cichlidsfish__1
62_wildbanana,nawɪ̃,yagua_62_wildbanana__1
63_wildgarlic,dʊ̃ɾɪ̃wɪ̃,yagua_63_wildgarlic__1
64_cushcushyam,mə̃sã,yagua_64_cushcushyam__1
65_sachainchi,pãtʲõ,yagua_65_sachainchi__1
66_peanut,mãɲẽse,yagua_66_peanut__1
67_manioc,asuʃʲjɛ,yagua_67_manioc__1
71_chestnut,pʰãtʲoho,yagua_71_chestnut__1
72_cashew,kaʃʰoː,yagua_72_cashew__1
73_culantro,kũnantɾəwɛ,yagua_73_culantro__1
74_tobacco,tsənɨɛ,yagua_74_tobacco__1
75_peachpalm,pʊr̥ɛ,yagua_75_peachpalm__1
76_aguaje,nese,yagua_76_aguaje__1
77_patawa,tsinʊ̃sɛ̃,yagua_77_patawa__1
78_coconut,aruãtatətʃi,yagua_78_coconut__1
79_cocona,bʊwã,yagua_79_cocona__1
80_taro,samɨnõə,yagua_80_taro__1
81_stranglerfig,wɨ̃tʊ̃,yagua_81_stranglerfig__1
