ID,Local_ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss,Scientific_Name,Concepticon_SemanticField
1_agriculturalfield,1,agricultural field,212,FIELD,chacra,,Agriculture and vegetation
2_abandonedagriculturalfield,2,abandoned agricultural field,,,purma,,Agriculture and vegetation
3_russetbackedoropendola,3,russet-backed oropendola,,,paucar,Psarocolius angustifrons.,Animals
4_scarletmacaw,4,scarlet macaw,,,guacamayo,Ara macao,Animals
4x1_redscarletmacaw,4_1,red scarlet macaw,,,guacamayo (rojo),Ara macao,Animals
4x2_blueyellowscarletmacaw,4_2,blue-yellow scarlet macaw,,,guacamayo (azul-amarillo),Ara macao,Animals
5_whitethroatedtoucan,5,white throated toucan,,,tucán,Ramphastos tucanus,Animals
5x1_bigwhitethroatedtoucan,5_1,big white throated toucan,,,tucán grande,Ramphastos tucanus,Animals
5x2_littlewhitethroatedtoucan,5_2,little white throated toucan,,,tucán pequeño,Ramphastos tucanus,Animals
6_spixsguan,6,Spix's guan,,,pucacunga,Penelope jacquacu,Animals
7_yellowcrownedparrot,7,yellow crowned parrot,,,aurora,Amazona ochrocephala,Animals
8_bluewingedparrotlet,8,bluewinged parrotlet,,,pihuicho,Forpus xanthopterygius,Animals
9_ringedkingfisher,9,ringed kingfisher,,,martín pescador,Megaceryle torquata,Animals
10_greatkiskadee,10,Great kiskadee,,,víctor díaz,Pitangus sulphuratus,Animals
11_head,11,head,1256,HEAD,cabeza,,The body
12_tooth,12,tooth,1380,TOOTH,diente,,The body
13_hand,13,hand,1277,HAND,mano,,The body
14_face,14,face,1560,FACE,cara,,The body
15_eye,15,eye,1248,EYE,ojo,,The body
16_nose,16,nose,1221,NOSE,nariz,,The body
17_mouth,17,mouth,674,MOUTH,boca,,The body
18_foot,18,foot,1301,FOOT,pie,,The body
19_neck,19,neck,1333,NECK,cuello,,The body
20_ear,20,ear,1247,EAR,orejas,,The body
21_shoulder,21,shoulder,1482,SHOULDER,hombro,,The body
22_arm,22,arm,1673,ARM,brazo,,The body
22x1_armright,22_1,arm (right),,,brazo (derecho),,The body
22x2_armleft,22_2,arm (left),,,brazo (izquierdo),,The body
23_chest,23,chest,1592,CHEST,pecho,,The body
24_belly,24,belly,1251,BELLY,barriga,,The body
25_leg,25,leg,1297,LEG,piernas,,The body
26_penis,26,penis,1222,PENIS,pene,,The body
27_vagina,27,vagina,1836,VAGINA,vagina,,The body
28_buttock,28,buttock,834,BUTTOCKS,nalga,,The body
29_hair,29,hair,2648,HAIR (HEAD),pelo,,The body
30_finger,30,finger,1303,FINGER,dedos de mano,,The body
30x1_fingerortoe,30_1,finger or toe,2120,FINGER OR TOE,dedos,,The body
31_toe,31,toe,1389,TOE,dedos de pie,,The body
32_back,32,back,1291,BACK,espalda,,The body
33_knee,33,knee,1371,KNEE,rodilla,,The body
34_eyebrow,34,eyebrow,1173,EYEBROW,cejas,,The body
35_breast,35,breast,1402,BREAST,senos,,The body
36_heart,36,heart,1223,HEART,corazón,,The body
37_liver,37,liver,1224,LIVER,hígado,,The body
38_intestines,38,intestines,1991,INTESTINES,intestinos,,The body
39_tongue,39,tongue,1205,TONGUE,lengua,,The body
40_urine,40,urine,1142,URINE,orine/orina,,The body
41_excrement,41,excrement,675,FAECES (EXCREMENT),heces/excremento,,The body
42_blood,42,blood,946,BLOOD,sangre,,The body
43_nail,43,nail,1896,FINGERNAIL OR TOENAIL,uñas,,The body
44_bellybutton,44,belly button,1838,NAVEL,ombligo,,The body
45_saliva,45,saliva,1503,SALIVA,saliva,,The body
46_ankle,46,ankle,803,ANKLE,tobillo,,The body
47_earring,47,earring,770,EARRING,arete,,Clothing and grooming
48_feathercrown,48,feather crown,,,corona de plumas,,Clothing and grooming
49_menstraditionalrobe,49,men's traditional robe,,,cushma,,Clothing and grooming
50_necklace,50,necklace,1961,NECKLACE,collar,,Clothing and grooming
51_armoredcatfish,51,armored catfish,,,carachama,Hypostomus sp.,Animals
52_electriceel,52,electric eel,2443,ELECTRIC EEL,anguila,Electrophorus electricus,Animals
53_stingray,53,stingray,1910,STINGRAY,raya,Potamotrygoncastexi,Animals
54_pirarucu,54,pirarucu,,,paiche,Arapaima gigas,Animals
55_prochilodontidfish,55,prochilodontid fish,,,boquichico,Prochilodus sp.,Animals
56_silvermylossoma,56,silver mylossoma,,,palometa,Mylossoma duriventre,Animals
57_piranha,57,piranha,317,PIRANHA,piraña,Serrasalmus nigricans,Animals
58_catfishpseudoplatystomafasciatum,58,catfish (Pseudoplatystoma fasciatum),,,doncella,Pseudoplatystoma fasciatum,Animals
59_catfishcallichthyscallichthys,59,catfish (Callichthys Callichthys),,,bagre,Callichthys Callichthys,Animals
60_catfishzungarozungaro,60,catfish (Zungaro zungaro),,,zúngaro,Zungaro zungaro,Animals
61_cichlidsfish,61,cichlids fish,,,bujurqui,Bujurquina cordemadi,Animals
62_wildbanana,62,wild banana,,,bijao,Calathea lutea,Animals
63_wildgarlic,63,wild garlic,,,ajosacha,Mansoa alliacea (Lam.) A Gentry,Agriculture and vegetation
64_cushcushyam,64,cush-cush yam,,,sachapapa,Dioscorea sp,Agriculture and vegetation
65_sachainchi,65,sacha inchi,,,sachainchi,Plukenetia volubilis,Agriculture and vegetation
66_peanut,66,peanut,595,GROUNDNUT (PEANUT),maní,Arachis hypogaea L,Agriculture and vegetation
67_manioc,67,manioc,925,CASSAVA,yuca,Manihot esculenta,Agriculture and vegetation
68_piripiri,68,piripiri,,,piripiri,Cyperus sp.,Agriculture and vegetation
69_cacaotree,69,cacao tree,,,cacao,Theobroma cacao L.,Agriculture and vegetation
70_mocambotree,70,mocambo tree,,,macambo,Theobroma bicolor,Agriculture and vegetation
71_chestnut,71,chestnut,2318,CHESTNUT,castaña,Castanea sativa,Agriculture and vegetation
72_cashew,72,cashew,2441,CASHEW,cashew/marañón,Anacardium occidentale,Agriculture and vegetation
73_culantro,73,culantro,,,sachaculantro,Eryngium foetidum,Agriculture and vegetation
74_tobacco,74,tobacco,974,TOBACCO,tabaco,Nicotiana tabacum,Agriculture and vegetation
75_peachpalm,75,peach palm,3919,PEACH PALM,pijuayo,Bactris gasipaes,Agriculture and vegetation
76_aguaje,76,aguaje,,,aguaje,Mauritia flexuosa,Agriculture and vegetation
77_patawa,77,patawa,,,ungurahui,Oenucarpus bataua,Agriculture and vegetation
78_coconut,78,coconut,970,COCONUT,coco,Cocos nucifera,Agriculture and vegetation
79_cocona,79,cocona,,,cocona,Solanum sessiliflorum,Agriculture and vegetation
80_taro,80,taro,351,TARO,pituca,Colocasia esculenta schott,Agriculture and vegetation
81_stranglerfig,81,strangler fig,,,renaco,Picus schultesi,Agriculture and vegetation
82_camucamu,82,camu-camu,,,camu camu,Myrciaria dubia,Agriculture and vegetation
83_giantceibatree,83,giant ceiba tree,,,lupuna,Ceiba pentandra,Agriculture and vegetation
84_cedar,84,cedar,3929,BRAZILIAN CEDAR,cedro,Cedrus sp,Agriculture and vegetation
85_mahogany,85,mahogany,,,caoba,Cedrelinga catenaeformis Ducke,Agriculture and vegetation
86_annatto,86,annatto,,,achiote,Bixa orellana L.,Agriculture and vegetation
87_huito,87,huito,,,huito,Genipa americana,Agriculture and vegetation
88_lepidocaryumtenue,88,Lepidocaryum tenue,,,irapay,Lepidocaryum tenue,Agriculture and vegetation
89_soapapple,89,soapapple,,,zapote,Pouteria sapota,Agriculture and vegetation
90_ajospiro,90,ajospiro,,,ajospiro,,Agriculture and vegetation
91_hotpepper,91,hot pepper,919,CHILI PEPPER,ají,,Agriculture and vegetation
92_wayruru,92,wayruru,,,huairuro,Ormosia coccinea,Agriculture and vegetation
93_maniocdrink,93,manioc drink,,,masato,,Food and drink
94_plantaindrink,94,plantain drink,,,chapo,,Food and drink
95_fishbasedfood,95,fish-based food,,,patarashca,,Food and drink
96_arrow,96,arrow,977,ARROW,flecha,,Warfare and hunting
97_bow,97,bow,994,BOW,arco,,Warfare and hunting
98_harpoon,98,harpoon,,,arpón,,Warfare and hunting
99_fishtrap,99,fish trap,389,FISH TRAP,trampera,,Warfare and hunting
100_spear,100,spear,945,SPEAR,lanza,,Warfare and hunting
101_temporaryshelter,101,temporary shelter,,,tambo,,Warfare and hunting
102_blowgun,102,blowgun,432,BLOWGUN,cerbatana/pucuna,,Warfare and hunting
103_shotgun,103,shotgun,3948,SHOTGUN,escopeta,,Warfare and hunting
104_fishinghook,104,fishing hook,1074,FISHHOOK,anzuelo,,Warfare and hunting
105_fishpoisonvine,105,fish poison vine,,,barbasco,Deguelia lonchocarpus,Warfare and hunting
106_fishpoisonshrub,106,fish poison shrub,,,huaca,Clibadium sp,Warfare and hunting
107_chaman,107,chaman,,,chamán,,Religion and belief
108_healer,108,healer,394,SHAMAN (FOLK HEALER),curandero,,Religion and belief
109_song,109,song,1096,SONG,canto,,Religion and belief
110_design,110,design,,,diseño,,Religion and belief
111_perforation,111,perforation,,,perforació,,Religion and belief
111x1_perforationoreja,111_1,perforation (oreja),,,perforació (oreja),,Religion and belief
111x2_perforationnaiz,111_2,perforation (naɾiz),,,perforació (naɾiz),,Religion and belief
111x3_perforationboca,111_3,perforation (boca),,,perforació (boca),,Religion and belief
111x4_perforationceja,111_4,perforation (ceja),,,perforació (ceja),,Religion and belief
112_ayahuasca,112,ayahuasca,276,BANISTERIUM,ayahuasca,Banisteriopsis caapi,Religion and belief
113_angelstears,113,angel's tears,,,toé,Brugmansia suaveolens,Religion and belief
114_kambo,114,kambo,,,kambo/ácate,,Religion and belief
115_berrybugs,115,berry bugs,,,isango,Trombiculidae,Animals
116_southamericanpalmweevillarva,116,South American palm weevil larva,,,suri,Rhynchophorus palmarum,Animals
117_louse,117,louse,1392,LOUSE,piojo,Phthiraptera sp,Animals
118_wasp,118,wasp,1517,WASP,avispa,Apocrita sp,Animals
119_bulletant,119,bullet ant,,,isula,Paraponera clavata,Animals
120_dragonfly,120,dragonfly,2352,DRAGONFLY,libélula/chinchilejo,Anisoptera sp,Animals
121_butterfly,121,butterfly,1791,BUTTERFLY,mariposa,Lepidoptera sp,Animals
122_mosquito,122,mosquito,1509,MOSQUITO,mosquito (zancudo),Culicidae sp.,Animals
123_leafcutterant,123,leafcutter ant,,,curuhinsi,Atta sexdens,Animals
124_spider,124,spider,843,SPIDER,araña,Aranae sp.,Animals
125_father,125,father,1217,FATHER,padre,,Kinship
126_mother,126,mother,1216,MOTHER,madre,,Kinship
127_brotherofman,127,brother of man,559,BROTHER (OF MAN),hermano de hombre (son del mismo género),,Kinship
128_manssister,128,man's sister,,,hermana de hombre,,Kinship
129_womansbrother,129,woman's brother,,,hermano de mujer,,Kinship
130_womanssister,130,woman's sister,,,hermana de mujer (son del mismo género),,Kinship
131_sonofman,131,son of man,3779,SON (OF MALE EGO),hijo de hombre,,Kinship
131x1_son,131_1,son,1620,SON,hijo,,Kinship
132_sonofwoman,132,son of woman,,,hijo de mujer,,Kinship
133_daughterofman,133,daughter of man,,,hija de hombre,,Kinship
134_daughterofwoman,134,daughter of woman,3930,DAUGHTER (OF WOMAN),hija de mujer,,Kinship
135_river,135,river,666,RIVER,río,,The physical world
136_lagoon,136,lagoon,623,LAGOON,laguna,,The physical world
137_sun,137,sun,1343,SUN,sol,,The physical world
138_moon,138,moon,1313,MOON,luna,,The physical world
139_rain,139,rain,658,RAIN (PRECIPITATION),lluvia,,The physical world
140_cloud,140,cloud,1489,CLOUD,nube,,The physical world
141_mountain,141,mountain,639,MOUNTAIN,montaña (cerro),,The physical world
142_lightning,142,lightning,1654,LIGHTNING,relámpago,,The physical world
143_thunder,143,thunder,1150,THUNDER,trueno,,The physical world
144_rock,144,rock,668,ROCK,roca,,The physical world
145_leaf,145,leaf,628,LEAF,hoja,,The physical world
146_fire,146,fire,221,FIRE,fuego,,The physical world
147_water,147,water,948,WATER,agua,,The physical world
148_star,148,star,1430,STAR,estrella,,The physical world
149_soilearth,149,"soil, earth",1228,EARTH (SOIL),tierra,,The physical world
150_tapir,150,tapir,312,TAPIR,sachavaca,Tapirus sp,Animals
151_agouti,151,agouti,313,AGOUTI,añuje,Dasyprocta punctata,Animals
152_lowlandpaca,152,lowland paca,,,majas,Cuniculus paca,Animals
153_whitelippedpeccary,153,white-lipped peccary,436,WHITE-LIPPED PECCARY,huangana,Tayassu pecari,Animals
154_capybara,154,capybara,314,CAPYBARA,ronsoco,Hydrochoerus hydrochaeris,Animals
155_jaguar,155,jaguar,1250,JAGUAR,jaguar,Panthera onca,Animals
156_spidermonkey,156,spider monkey,434,SPIDER MONKEY,maquisapa,Ateles belzebuth,Animals
157_redhowleraullador,157,red howler (aullador),,,aullador,Alouatta seniculus,Animals
158_redhowlercotomono,158,red howler (cotomono),,,cotomono,Alouatta seniculus,Animals
159_southamericancoati,159,South American coati,,,achuni (coatí),Nasua nasua,Animals
160_nancymasnightmonkey,160,Nancy Ma's night monkey,,,musmuqui,Aotus nancymaae,Animals
161_squirrelmonkeyfrailecillo,161,squirrel monkey (frailecillo),,,frailecillo,Saimiri sciureus,Animals
162_squirrelmonkeymartin,162,squirrel monkey (martín),,,martín,Saimiri sciureus,Animals
163_amazonriverdolphin,163,Amazon river dolphin,,,bufeo,Inia geoffrensis,Animals
164_sloth,164,sloth,2446,SLOTH,pelejo,Bradypus/Choloepus sp,Animals
165_armadillo,165,armadillo,1885,ARMADILLO,armadillo/carachupa,Dasypodidae sp,Animals
166_anteater,166,anteater,181,ANTEATER,oso hormiguero,Vermilingua sp.,Animals
167_tamanduaanteater,167,tamandua anteater,,,tamandúa,Vermilingua sp.,Animals
168_woollymonkey,168,woolly monkey,,,monochoro,Oreonax flavicauda,Animals
169_whitefacedcapuchin,169,white-faced capuchin,,,capuchino,Cebus capucinus,Animals
170_fabric,170,fabric,1641,SILK,telas,,Clothing and grooming
172_pitcher,172,pitcher,120,PITCHER,cántaro,,Basic actions and technology
173_dye,173,dye,157,DYE,tinte,,Basic actions and technology
173x1_blackdye,173_1,black dye,,,tinte negro,,Basic actions and technology
173x2_reddye,173_2,red dye,,,tinte rojo,,Basic actions and technology
174_tattoo,174,tattoo,68,TATTOO,tatuaje (hacer diseño),,Clothing and grooming
175_house,175,house,1252,HOUSE,casa,,The house
176_quena,176,quena,,,quena/yupana,,Speech and language
177_drum,177,drum,908,DRUM,tambor,,Speech and language
178_manguare,178,manguaré,,,manguaré,,Speech and language
179_one,179,one,1493,ONE,uno,,Quantity
180_two,180,two,1498,TWO,dos,,Quantity
181_three,181,three,492,THREE,tres,,Quantity
182_four,182,four,1500,FOUR,cuatro,,Quantity
183_five,183,five,493,FIVE,cinco,,Quantity
184_few,184,few,1242,FEW,pocos,,Quantity
185_several,185,several,1241,SOME,varios,,Quantity
186_countryfellow,186,country fellow,,,paisano,,Social and political relations
187_foreign,187,foreign,109,FOREIGN,extranjero,,Social and political relations
