ID,Local_ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss,Scientific_Name,Concepticon_SemanticField
187x2_foreignmestizo,187_2,foreign (mestizo),,,extranjero (mestizo),,Social and political relations
188_language,188,language,1307,LANGUAGE,lengua (idioma),,Speech and language
189_man,189,man,1554,MAN,hombre,,Kinship
190_woman,190,woman,962,WOMAN,mujer,,Kinship
191_i,191,I,1209,I,1sg,,Kinship
192_you2sg,192,you 2sg,1213,YOU,2sg,,Kinship
193_heshe,193,he/she,2642,HE OR SHE,3sg,,Kinship
193x1_he,193_1,he,1211,HE,3sg masc,,Kinship
193x2_she,193_2,she,1834,SHE,3sg fem,,Kinship
194_weallincl,194,"we (all, INcl.)",1131,WE (INCLUSIVE),1incl,,Kinship
195_weallexcl,195,"we (all, EXcl.)",1130,WE (EXCLUSIVE),1excl,,Kinship
196_you2pl,196,you 2pl,1215,THOU,2pl,,Kinship
197_they,197,they,817,THEY,3pl,,Kinship
197x1_theymasc,197_1,they (masc.),,,3pl masc,,Kinship
197x2_theyfem,197_2,they (fem.),,,3pl fem,,Kinship
198_some,198,some,1241,SOME,algunos,,Quantity
199_several,199,several,1241,SOME,varios,,Quantity
200_many,200,many,1198,MANY,muchos,,Quantity
201_none,201,none,,,ninguno,,Quantity
202_few,202,few,1242,FEW,pocos,,Quantity
203_all,203,all,98,ALL,todos,,Quantity
204_half,204,half,816,HALF,media (mitad),,Quantity
205_bunch,205,bunch,1966,BUNCH,trozo/puñado (pedazo),,Quantity
206_pair,206,pair,1888,PAIR,par,,Quantity
207_both,207,both,,,ambos,,Quantity
208_southernamericanbushmaster,208,Southern American bushmaster,,,shushupe,Lachesis muta,Animals
209_lizard,209,Lizard,632,LIZARD,lagarto,Lacertilia,Animals
210_yellowfootedtortoise,210,yellow-footed tortoise,,,motelo,Chelonoidis denticulata,Animals
211_yellowspottedamazonriverturtle,211,yellow-spotted Amazon river turtle,,,taricaya,Podocnemis unifilis,Animals
212_amazonriverturtle,212,Amazon river turtle,,,charapa,Podocnemis sp.,Animals
213_anacondas,213,Anacondas,,,anaconda,Eunectes sp.,Animals
214_commonlancehead,214,common lancehead,,,jergón,Bothrops atrox,Animals
215_frog,215,frog,503,FROG,rana (que se come),Rana sp.,Animals
216_iguana,216,iguana,1578,IGUANA,iguana,Iguana sp.,Animals
217_basilisco,217,basilisco(?),,,basilisco(?),,Animals
218_here,218,here,136,HERE,acá/aquí,,Spatial relations
219_there,219,there,1937,THERE,allá/allí,,Spatial relations
219x2_furthermore,219_2,further more,,,allá (más),,Spatial relations
220_before,220,before,1882,BEFORE,antes,,Time
221_after,221,after,1685,AFTER,después,,Time
222_now,222,now,1376,NOW,ahora,,Time
223_machete,223,machete,2680,MACHETE,machete,,Basic actions and technology
224_hammock,224,hammock,2019,HAMMOCK,hamaca,,The house
225_pipe,225,pipe,1124,PIPE,pipa,,Basic actions and technology
226_canoe,226,canoe,1970,CANOE,canoa,,Motion
227_rowing,227,rowing,,,remo,,Basic actions and technology
228_basket,228,basket,1539,BASKET,canasta,,Basic actions and technology
229_rope,229,rope,1218,ROPE,cuerda/soga,,Basic actions and technology
230_plate,230,plate,480,PLATE,plato,,Basic actions and technology
231_table,231,table,1775,TABLE,mesa,,The house
232_bed,232,bed,1663,BED,cama,,The house
233_strainer,233,strainer,,,cernidor,,Basic actions and technology
234_fan,234,fan,1971,FAN (OBJECT),abanico,,Basic actions and technology
235_walk,235,walk,1443,WALK,caminar,,Motion
236_cook,236,cook,1100,COOK (SOMETHING),cocinar,,Food and drink
237_fish,237,fish,227,FISH,pescar,,Warfare and hunting
238_dance,238,dance,1879,DANCE,bailar,,Motion
239_sing,239,sing,1261,SING,cantar,,Speech and language
240_tellstories,240,tell (stories),1711,TELL,contar (cuentos),,Speech and language
241_eat,241,eat,1336,EAT,comer,,Food and drink
242_drink,242,drink,731,BEVERAGE,beber,,Food and drink
243_urinate,243,urinate,592,PISS,orinar,,The body
244_defecate,244,defecate,676,SHIT (DEFECATE),defecar,,The body
245_boil,245,boil,2493,BOIL,hervir,,Food and drink
246_breathe,246,breathe,1407,BREATHE,respirar,,The body
247_work,247,work,984,WORK (LABOUR),trabajar,,Basic actions and technology
