Grapheme	IPA
/	NULL
$	NULL
^	NULL
(	NULL
)	NULL
.	NULL
?	NULL
¿	NULL
'	NULL
ˈ	NULL
əʰ	ə̤
a̤	a̤
a̰ː	a̰ː
ɘ̃	ɘ̃
ə̃ʰ	ə̤̃
æʰ	æ̤
æ̃	æ̃
ɛ̯	ɛ̯
tsᵊ	ts ə
kᵊ	k ə
ʃᵊ	ʃ ə
kʷʰ	kʷʰ
ṵ	u
ɛʰ	ɛ̤
ɾ̥	ɾ̥
ɪ̰	ɪ̰
r̥	r̥
ɪ̰	ɪ̰
ãʰ	ã̤	
ʉ	ʉ
i̞	i̞
e̞	e̞
e̤	e̤
ɘ̯	ɘ̯
o̝	o̝
o̰	o̰
ɨ̰	ɨ̰
p̬	p̬
ð̝	ð̝
t̬	t̬
ç	ç
d̚	d̚
ɯ̥	ɯ̥
ḛ	ḛ
ɾᵊ	ɾᵊ
tᵊ	tᵊ
aːʰ	a̤ː
a̼ː	a̼ː
ʊ̃ⁿ	ʊ̃
ãⁿ	ã
e̯ʰ	e̯̤
ɛ̃ː	ɛ̃ː
õʰ	õ̤
o̞ː	o̞ː
ʃʰ	ʃʰ
pᶤ	pᶤ
pᵊ	pᵊ
hᵊ	hᵊ
ɔ̃	ɔ̃
χ	χ
o̞	o̞
u̞	u̞
ð̞	ð̞
ɯ̯	ɯ̯
ɐ̃	ɐ̃
mᵇ	ⁿb
nᵈ	ⁿd
tsʲ	tsʲ
-	+
a	a
i	i
t	t
n	n
ɨ	ɨ
k	k
u	u
ʃ	ʃ
p	p
ɾ	ɾ
o	o
m	m
s	s
w	w
j	j
e	e
ʂ	ʂ
d	d
ʔ	ʔ
ɸ	ɸ
ʊ	ʊ
b	b
h	h
β	β
ã	ã
ɪ	ɪ
kʷ	kʷ
βʷ	βʷ
ɸʷ	ɸʷ
mʷ	mʷ
pʷ	pʷ
hʷ	hʷ
bʷ	bʷ
ʂʷ	ʂʷ
ʃʷ	ʃʷ
g	g
ŋ	ŋ
ĩ	ĩ
ɲ	ɲ
l	l
ɣ	ɣ
ç	ç
ɨ̃	ɨ̃
ũ	ũ
ʐ	ʐ
ɻ	ɻ
ɫ	ɫ
i̥	i̥
õ	õ
z	z
w̃	w̃
r	r
ʒ	ʒ
ʊ̃	ʊ̃
ú	ú
í	í
ɘ	ɘ
j̃	j̃
ɯ	ɯ
ɨ̥	ɨ̥
ə	ə
tʃ	tʃ
t͡ʃ	tʃ
t͡s	ts
ts	ts
dʒ	dʒ
ɖʐ	ɖʐ
kʰ	kʰ
pʰ	pʰ
ɣʲ	ɣʲ
á	á
ʝ	ʝ
tʲ	tʲ
tʃʲ	tʃʲ
ᵊ	ᵊ
i̯	i̯
c	c
ᵐb	ᵐb
ⁿd	ⁿd
ᵐp	ᵐp
ɪ̃	ɪ̃
ó	ó
â	â
ū	ū
ī	ī
p̚	p̚
u̯	u̯
o̯	o̯
x	x
s̺	s̺
ɛ	ɛ
ɖ̚	ɖ̚
a̰	a̰
y	y
ɹ̝	ɹ̝
æ	æ
k̚	k̚
ʎ	ʎ
ẽ	ẽ
ə̥	ə̥
ɤ	ɤ
e̯	e̯
ñ	ñ
ɖ	ɖ
ɨ᷈	ɨ
ɨ̯	ɨ̯
ɣ̞	ɣ̞
ɨ̟	ɨ̟
h̃	h̃
ḭ	ḭ
ˀ	ʔ
ɟ	ɟ
ā	ā
ì	ì
ḁ	ḁ
ɒ	ɒ
ᶤ	ᶤ
ɨː	ɨː
iː	iː
aː	aː
ãː	ãː
áː	áː
ũː	ũː
ĩː	ĩː
úː	úː
ʊː	ʊː
eː	eː
oː	oː
uː	uː
nː	nː
ɨ̃ː	ɨ̃ː
ʊ̃ː	ʊ̃ː
ɪ̃ː	ɪ̃ː
u᷈	ũ
ɪ̯	ɪ̯
ʊ̯	ʊ̯
t̚	t̚
ð	ð
i᷈	ĩ
ɛ̃	ɛ̃
ɔ	ɔ
ɰ	ɰ
ə̃	ə̃
m̩	m̩
õː	õː
ë	ë
sʰ	sʰ
kʲʰ	kʲʰ
tʰ	tʰ
tsʰ	tsʰ
dzʰ	dzʰ
é	e
tʲʰ	tʲʰ
dz	dz
aʰ	a h
eʰ	e h
oʰ	o h
mʲ	mʲ
ɐ	ɐ
f	f
q	q
ɜ	ɜ
v	v
x	x
β̞	β̞
ɪː	ɪː
ɯː	ɯː
ɛː	ɛː
əː	əː
hʲ	hʲ
pʲ	pʲ
sʲ	sʲ
ʃʲ	ʃʲ
gʲ	gʲ
kʲ	kʲ
dʲ	dʲ
lʲ	lʲ
