param_id,form,audio
1_agriculturalfield,baɨ,sharanahua_1_agriculturalfield__1
2_abandonedagriculturalfield,daβʷɨ,sharanahua_2_abandonedagriculturalfield__1
3_russetbackedoropendola,tʃada,sharanahua_3_russetbackedoropendola__1
4_scarletmacaw,kãĩ,sharanahua_4_scarletmacaw__1
5_whitethroatedtoucan,ʂʊkɨ,sharanahua_5_whitethroatedtoucan__1
6_spixsguan,kɨɸʊ,sharanahua_6_spixsguan__1
7_yellowcrownedparrot,ɸʷawa,sharanahua_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pitsʊ,sharanahua_8_bluewingedparrotlet__1
9_ringedkingfisher,tikʊ,sharanahua_9_ringedkingfisher__1
10_greatkiskadee,pisa,sharanahua_10_greatkiskadee__1
11_head,bapʊ,sharanahua_11_head__1
12_tooth,pitɪ,sharanahua_12_tooth__1
13_hand,bɨkɨ,sharanahua_13_hand__1
14_face,ɸʷɨmana,sharanahua_14_face__1
15_eye,ɸʷɨɾʊ,sharanahua_15_eye__1
16_nose,ɾɨ:tʃʊkʊ,sharanahua_16_nose__1
17_mouth,kɨ:ʃa,sharanahua_17_mouth__1
18_foot,taɨ,sharanahua_18_foot__1
19_neck,tɨsto,sharanahua_19_neck__1
20_ear,patʃʊ,sharanahua_20_ear__1
21_shoulder,puti,sharanahua_21_shoulder__1
22_arm,bɨɸi,sharanahua_22_arm__1
23_chest,ʂʊtʃɪ,sharanahua_23_chest__1
24_belly,pustʊ,sharanahua_24_belly__1
25_leg,kiʃi,sharanahua_25_leg__1
26_penis,ɸʊʂtɪ,sharanahua_26_penis__1
27_vagina,tʃiʂana,sharanahua_27_vagina__1
28_buttock,tʃi:pa,sharanahua_28_buttock__1
29_hair,ɸʊ:,sharanahua_29_hair__1
30_finger,bɨtotɪ,sharanahua_30_finger__1
31_toe,taɨ ɸuʃka βɨstɪ,sharanahua_31_toe__1
32_back,pɨtʃi,sharanahua_32_back__1
33_knee,ɸitaʂɨ,sharanahua_33_knee__1
34_eyebrow,ɸʷɨspi,sharanahua_34_eyebrow__1
35_breast,ʃũᵐbã,sharanahua_35_breast__1
36_heart,ũw̃ĩtɪ,sharanahua_36_heart__1
37_liver,taːka,sharanahua_37_liver__1
38_intestines,poko,sharanahua_38_intestines__1
39_tongue,ã:nda,sharanahua_39_tongue__1
40_urine,isunwi,sharanahua_40_urine__1
41_excrement,poːwi,sharanahua_41_excrement__1
42_blood,ĩᵐbĩ,sharanahua_42_blood__1
43_nail,bɨtsisi,sharanahua_43_nail__1
44_bellybutton,toko ɾoʃpi,sharanahua_44_bellybutton__1
45_saliva,kɨ̃ᵐbõ,sharanahua_45_saliva__1
46_ankle,opoʃko,
47_earring,paɾɨˈtãwãti,
48_feathercrown,kaj̃bajti,
49_menstraditionalrobe,kuʂma,
50_necklace,tãwãti,
51_armoredcatfish,ipo,
52_electriceel,kuniwã,
53_stingray,iwi,
54_pirarucu,ʃaũmãwã,
55_prochilodontidfish,kapiˈɾiba,
56_silvermylossoma,paloˈmeta,
57_piranha,bakɨ,
58_catfishpseudoplatystomafasciatum,imiɸo,
59_catfishcallichthyscallichthys,aɾɨ̃boʃa,
60_catfishzungarozungaro,ʃĩmanoa,
61_cichlidsfish,maj,
62_wildbanana,bandi,
64_cushcushyam,kaɾi,
66_peanut,tanba,
67_manioc,yuwa,
68_piripiri,piɾi piɾi,sharanahua_68_piripiri__1
69_cacaotree,tʃaʂo ɾɨʂoɸi,sharanahua_69_cacaotree__1
70_mocambotree,ɸãwãkoɾoɸɪ,sharanahua_70_mocambotree__1
71_chestnut,tãmãw̃ã,sharanahua_71_chestnut__1
72_cashew,kaʃʊ,sharanahua_72_cashew__1
73_culantro,kulandɾu,sharanahua_73_culantro__1
74_tobacco,ɾubɨ,sharanahua_74_tobacco__1
75_peachpalm,ʃini mãwã,sharanahua_75_peachpalm__1
76_aguaje,agwahe,sharanahua_76_aguaje__1
77_patawa,i:sa,sharanahua_77_patawa__1
78_coconut,kʊkʊ,sharanahua_78_coconut__1
79_cocona,kokona,sharanahua_79_cocona__1
80_taro,bɨ:to,sharanahua_80_taro__1
81_stranglerfig,ɹ̝enako,sharanahua_81_stranglerfig__1
82_camucamu,kamo kamo,sharanahua_82_camucamu__1
83_giantceibatree,ʃʊːndʊ,sharanahua_83_giantceibatree__1
84_cedar,kʊʂa,sharanahua_84_cedar__1
85_mahogany,kaoba,sharanahua_85_mahogany__1
86_annatto,tʃaʂka,sharanahua_86_annatto__1
87_huito,daːndɨ,sharanahua_87_huito__1
88_lepidocaryumtenue,ʂʷɨpa,sharanahua_88_lepidocaryumtenue__1
89_soapapple,itʃiɸi,sharanahua_89_soapapple__1
91_hotpepper,jutʃɪ,sharanahua_91_hotpepper__1
92_wayruru,ʃɨpiwɨɾʊhɪ,sharanahua_92_wayruru__1
93_maniocdrink,pɨtɪ,sharanahua_93_maniocdrink__1
94_plantaindrink,mãɲã butsa,sharanahua_94_plantaindrink__1
95_fishbasedfood,kawa,sharanahua_95_fishbasedfood__1
96_arrow,pija,sharanahua_96_arrow__1
97_bow,katɪ,sharanahua_97_bow__1
98_harpoon,tʃatʃi,sharanahua_98_harpoon__1
99_fishtrap,tɾampeɾa,sharanahua_99_fishtrap__1
100_spear,iβikutʃa,sharanahua_100_spear__1
101_temporaryshelter,pɨʂɨ̃,sharanahua_101_temporaryshelter__1
102_blowgun,tipi,sharanahua_102_blowgun__1
103_shotgun,tɨkɨtɪ,sharanahua_103_shotgun__1
104_fishinghook,ʂɨabatɪ,sharanahua_104_fishinghook__1
105_fishpoisonvine,tsikãw̃ã,sharanahua_105_fishpoisonvine__1
106_fishpoisonshrub,puwikama,sharanahua_106_fishpoisonshrub__1
107_chaman,dʒuɸʷɨ,sharanahua_107_chaman__1
108_healer,dʒuɸʷɨ,sharanahua_108_healer__1
109_song,ɸʷanajki,sharanahua_109_song__1
110_design,tʃalekos,sharanahua_110_design__1
111_perforation,paɾutawɨtɪ,sharanahua_111_perforation__1
112_ayahuasca,ʂuɾɪ,sharanahua_112_ayahuasca__1
113_angelstears,tʃaɾʊ,sharanahua_113_angelstears__1
115_berrybugs,bajʂaɨ,sharanahua_115_berrybugs__1
116_southamericanpalmweevillarva,suɾi,sharanahua_116_southamericanpalmweevillarva__1
117_louse,iʝa,sharanahua_117_louse__1
118_wasp,ɸida,sharanahua_118_wasp__1
119_bulletant,diɸo,sharanahua_119_bulletant__1
