param_id,form,audio
1_agriculturalfield,hõtahɛ̃,ocaina_1_agriculturalfield__1
12_tooth,atʰidu,ocaina_12_tooth__1
13_hand,oɾõŋ,ocaina_13_hand__1
15_eye,ohɨ,ocaina_15_eye__1
16_nose,tʲoʔɸo,ocaina_16_nose__1
17_mouth,foː,ocaina_17_mouth__1
18_foot,ɨʔjo,ocaina_18_foot__1
20_ear,ʂʷəɲʊ̃ŋ,ocaina_20_ear__1
22_arm,dʲuʂa,ocaina_22_arm__1
23_chest,baɣʊtʲa,ocaina_23_chest__1
24_belly,gɐho,ocaina_24_belly__1
25_leg,oksakʰonə,ocaina_25_leg__1
26_penis,hɪɲo,ocaina_26_penis__1
27_vagina,ɸʷɨʔtʊ,ocaina_27_vagina__1
28_buttock,xaɲawɨ,ocaina_28_buttock__1
29_hair,oˀɸo,ocaina_29_hair__1
30_finger,xaɲõn ɸʷiʝi,ocaina_30_finger__1
31_toe,xaɲõn duβiɲi,ocaina_31_toe__1
32_back,huɸʊ̃,ocaina_32_back__1
33_knee,hõhõŋkʰʊ,ocaina_33_knee__1
34_eyebrow,djoɾʊxo,ocaina_34_eyebrow__1
36_heart,ʂomɨmʊti,ocaina_36_heart__1
37_liver,ohɨ̃hə̃,ocaina_37_liver__1
38_intestines,maɲɪ̃kʊ,ocaina_38_intestines__1
39_tongue,hiɲõʔɸʊ,ocaina_39_tongue__1
40_urine,tajikʃi,ocaina_40_urine__1
41_excrement,nemʊ̃hĩ,ocaina_41_excrement__1
42_blood,tsʲihinhɪ,ocaina_42_blood__1
43_nail,hakjo,ocaina_43_nail__1
44_bellybutton,tʲʊʔtʲa,ocaina_44_bellybutton__1
45_saliva,foɲohi,ocaina_45_saliva__1
47_earring,xoɲõtjaβʊkʊ,ocaina_47_earring__1
48_feathercrown,djʊɸoksʊɾʊ,ocaina_48_feathercrown__1
49_menstraditionalrobe,ajawɨka,ocaina_49_menstraditionalrobe__1
50_necklace,jomakho,ocaina_50_necklace__1
51_armoredcatfish,hamɪxa,ocaina_51_armoredcatfish__1
52_electriceel,ãˀmɨ̃ɲõ,ocaina_52_electriceel__1
53_stingray,amɪho,ocaina_53_stingray__1
53_stingray,boʔtaɲɪ,ocaina_53_stingray__2
56_silvermylossoma,ɲõxo,ocaina_56_silvermylossoma__1
57_piranha,dʲjʊɾoˀxo,ocaina_57_piranha__1
59_catfishcallichthyscallichthys,djaɸitja,ocaina_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,ɨ̃nãhɨ̃,ocaina_60_catfishzungarozungaro__1
61_cichlidsfish,ɸoxʊ,ocaina_61_cichlidsfish__1
64_cushcushyam,ahati,ocaina_64_cushcushyam__1
65_sachainchi,amɨ̃ʔa,ocaina_65_sachainchi__1
68_piripiri,ɸʊ̃ɲũ,ocaina_68_piripiri__1
71_chestnut,hoɸaja,ocaina_71_chestnut__1
72_cashew,aɲaʃo,ocaina_72_cashew__1
74_tobacco,xotʲə,ocaina_74_tobacco__1
75_peachpalm,hamɪhʊɾə,ocaina_75_peachpalm__1
76_aguaje,xonɐ̃xɛ̃,ocaina_76_aguaje__1
77_patawa,obãkʰʊ,ocaina_77_patawa__1
79_cocona,dʲoxoɾo,ocaina_79_cocona__1
86_annatto,ɲoɾoɲæ,ocaina_86_annatto__1
87_huito,xʊɾaβo,ocaina_87_huito__1
89_soapapple,djohɪ̃,ocaina_89_soapapple__1
91_hotpepper,ɐtʲidjɐ,ocaina_91_hotpepper__1
93_maniocdrink,baɸoɸoɾɪ,ocaina_93_maniocdrink__1
94_plantaindrink,hʊhãkʊɾo,ocaina_94_plantaindrink__1
96_arrow,əˀtaja,ocaina_96_arrow__1
97_bow,tsipõxatja,ocaina_97_bow__1
98_harpoon,ojaksi,ocaina_98_harpoon__1
99_fishtrap,tsõnõkõ,ocaina_99_fishtrap__1
100_spear,ojaksi,ocaina_100_spear__1
101_temporaryshelter,foɸʊbõŋ,ocaina_101_temporaryshelter__1
102_blowgun,ɸahitʲa,ocaina_102_blowgun__1
103_shotgun,ɸahĩkonə,ocaina_103_shotgun__1
104_fishinghook,ɸʷɨkʰoti,ocaina_104_fishinghook__1
105_fishpoisonvine,ɔmaŋ,ocaina_105_fishpoisonvine__1
108_healer,hohaxoɾama,ocaina_108_healer__1
109_song,ɲõmãhɨ̃,ocaina_109_song__1
110_design,ɸohɨ̃,ocaina_110_design__1
111_perforation,oh̃ɨ̃,ocaina_111_perforation__1
113_angelstears,toe,ocaina_113_angelstears__1
114_kambo,tʲoɾo,ocaina_114_kambo__1
115_berrybugs,kaɲõhõ,ocaina_115_berrybugs__1
116_southamericanpalmweevillarva,ɲõɾõʔhə̃,ocaina_116_southamericanpalmweevillarva__1
117_louse,o̰ɸoxakʊ,ocaina_117_louse__1
118_wasp,oɾʊmə,ocaina_118_wasp__1
119_bulletant,omõhõ,ocaina_119_bulletant__1
120_dragonfly,tjak̚tja,ocaina_120_dragonfly__1
120_dragonfly,biksiɾiko,ocaina_120_dragonfly__2
121_butterfly,ɸʊmãxõ,ocaina_121_butterfly__1
122_mosquito,ãʰtʃoko,ocaina_122_mosquito__1
123_leafcutterant,ɲãhĩta,ocaina_123_leafcutterant__1
124_spider,oɾo,ocaina_124_spider__1
125_father,homõŋ,ocaina_125_father__1
126_mother,xomami,ocaina_126_mother__1
127_brotherofman,dʲjoma,ocaina_127_brotherofman__1
128_manssister,dʲjomi,ocaina_128_manssister__1
129_womansbrother,dʲjoma,ocaina_129_womansbrother__1
130_womanssister,dʲjomi,ocaina_130_womanssister__1
131_sonofman,awi,ocaina_131_sonofman__1
132_sonofwoman,awi,ocaina_132_sonofwoman__1
133_daughterofman,ɨtɐ,ocaina_133_daughterofman__1
134_daughterofwoman,ɨtɐ,ocaina_134_daughterofwoman__1
135_river,tʲaɨ,ocaina_135_river__1
136_lagoon,hõʔãhĩ,ocaina_136_lagoon__1
137_sun,nɨnə,ocaina_137_sun__1
138_moon,ɸədʲome,ocaina_138_moon__1
139_rain,ɲõnh̃ɨ̃,ocaina_139_rain__1
140_cloud,haʔɸiʊ,ocaina_140_cloud__1
142_lightning,ɨwakʲjo,ocaina_142_lightning__1
143_thunder,amɨ̃ʔnʊ̃,ocaina_143_thunder__1
144_rock,ɡotɨxʊ,ocaina_144_rock__1
145_leaf,oxaβi,ocaina_145_leaf__1
146_fire,tʲaɾo,ocaina_146_fire__1
147_water,ɲõŋ,ocaina_147_water__1
148_star,oxotʲo,ocaina_148_star__1
149_soilearth,ãɲõxɨ̃,ocaina_149_soilearth__1
150_tapir,tʲʊ̃hə̃,ocaina_150_tapir__1
151_agouti,ɸʷɨtʲo,ocaina_151_agouti__1
152_lowlandpaca,axaɲʊ,ocaina_152_lowlandpaca__1
153_whitelippedpeccary,haɾotiβ̞a,ocaina_153_whitelippedpeccary__1
154_capybara,ɲõʔmə,ocaina_154_capybara__1
159_southamericancoati,ɲɐmɨxʊ,ocaina_159_southamericancoati__1
160_nancymasnightmonkey,ɲamɨ̃hõ,ocaina_160_nancymasnightmonkey__1
163_amazonriverdolphin,aβ̞anɨ,ocaina_163_amazonriverdolphin__1
164_sloth,hãɪ̃kʊ̃,ocaina_164_sloth__1
165_armadillo,õʰdzo,ocaina_165_armadillo__1
166_anteater,hj̃ãko,ocaina_166_anteater__1
167_tamanduaanteater,xõʔə̃,ocaina_167_tamanduaanteater__1
170_fabric,axɨxɐ,ocaina_170_fabric__1
172_pitcher,nɔŋɡo,ocaina_172_pitcher__1
173_dye,aɲõɾaxɨ,ocaina_173_dye__1
175_house,ɸoː,ocaina_175_house__1
178_manguare,aɾõŋ,ocaina_178_manguare__1
179_one,tʲja,ocaina_179_one__1
183_five,tʲaɸoɾo,ocaina_183_five__1
186_countryfellow,ɸohoʔã,ocaina_186_countryfellow__1
187_foreign,ɔɲə̃,ocaina_187_foreign__1
187_foreign,matoˀjomɪ,ocaina_187_foreign__2
188_language,ɸoxojɾa,ocaina_188_language__1
189_man,oɨ,ocaina_189_man__1
190_woman,mami,ocaina_190_woman__1
191_i,xɔ̃ŋ,ocaina_191_i__1
192_you2sg,oŋ,ocaina_192_you2sg__1
193_heshe,ĩh̃ã,ocaina_193_heshe__1
194_weallincl,hahɔ,ocaina_194_weallincl__1
196_you2pl,moːto,ocaina_196_you2pl__1
197x1_theymasc,ɨ̃mɐ,ocaina_197x1_theymasc__1
197x2_theyfem,ɨxɐ,ocaina_197x2_theyfem__1
198_some,tɐmʃa,ocaina_198_some__1
203_all,hahõ,ocaina_203_all__1
204_half,ɨjoʰɸʷitjə,ocaina_204_half__1
205_bunch,djəʔjɨna,ocaina_205_bunch__1
208_southernamericanbushmaster,toχomə,ocaina_208_southernamericanbushmaster__1
209_lizard,xoʔõw̃ɐ̃,ocaina_209_lizard__1
210_yellowfootedtortoise,dzədzo,ocaina_210_yellowfootedtortoise__1
212_amazonriverturtle,maɲĩho,ocaina_212_amazonriverturtle__1
213_anacondas,xamɪxoɾə,ocaina_213_anacondas__1
214_commonlancehead,anetʲokʊ,ocaina_214_commonlancehead__1
215_frog,hõoko,ocaina_215_frog__1
216_iguana,mãjãʔõ,ocaina_216_iguana__1
218_here,bɐ,ocaina_218_here__1
219_there,tɪ̃ãhõ,ocaina_219_there__1
220_before,naːxo,ocaina_220_before__1
221_after,naʔa,ocaina_221_after__1
222_now,xɐʝi,ocaina_222_now__1
222_now,bɨɾʊhʊ,ocaina_222_now__2
223_machete,mɨɾabohʊ,ocaina_223_machete__1
224_hammock,xonãhĩ,ocaina_224_hammock__1
225_pipe,tʲʊxʊ,ocaina_225_pipe__1
226_canoe,hoɸanə,ocaina_226_canoe__1
227_rowing,moʰsʊdjaβoho,ocaina_227_rowing__1
228_basket,ɲaːɾo,ocaina_228_basket__1
229_rope,mʊhãʔɸi,ocaina_229_rope__1
230_plate,ɲʊ̃ɸʊβʊhʊ,ocaina_230_plate__1
231_table,djaβ̞oho,ocaina_231_table__1
232_bed,ɨnɔksaβi,ocaina_232_bed__1
234_fan,wewɪdjɐwʊhʊ,ocaina_234_fan__1
235_walk,mɐxa,ocaina_235_walk__1
236_cook,djoʔɸə,ocaina_236_cook__1
237_fish,ɸjɨxʊ adzɪ,ocaina_237_fish__1
238_dance,ɲõmɨ̃,ocaina_238_dance__1
239_sing,ɲõmɨ̃,ocaina_239_sing__1
240_tellstories,ɸaʔxaʔxo,ocaina_240_tellstories__1
240_tellstories,bɨʔxofidʒi̞,ocaina_240_tellstories__2
241_eat,pohʊ,ocaina_241_eat__1
242_drink,ɲoʔxo,ocaina_242_drink__1
243_urinate,tajɪ,ocaina_243_urinate__1
244_defecate,nɨ̃mõhĩ,ocaina_244_defecate__1
245_boil,toxo,ocaina_245_boil__1
246_breathe,xaːʰjo,ocaina_246_breathe__1
247_work,hoaɟi,ocaina_247_work__1
