param_id,form,audio
1_agriculturalfield,tje,matses_1_agriculturalfield__1
2_abandonedagriculturalfield,tjed̚ ʂɨni,matses_2_abandonedagriculturalfield__1
3_russetbackedoropendola,iʃku,matses_3_russetbackedoropendola__1
4_scarletmacaw,kəna,matses_4_scarletmacaw__1
5_whitethroatedtoucan,tʃankwɨʃ,matses_5_whitethroatedtoucan__1
5_whitethroatedtoucan,tʃɨɾo,matses_5_whitethroatedtoucan__2
6_spixsguan,kuβu,matses_6_spixsguan__1
7_yellowcrownedparrot,kanatanuŋ,matses_7_yellowcrownedparrot__1
8_bluewingedparrotlet,kweɾes,matses_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃaɾa,matses_9_ringedkingfisher__1
10_greatkiskadee,piɾiɾis̺,matses_10_greatkiskadee__1
11_head,mapi,matses_11_head__1
12_tooth,ʃɨta,matses_12_tooth__1
13_hand,mɨɾantɪ,matses_13_hand__1
14_face,bɨtantɪte,matses_14_face__1
15_eye,ɨʃɨ,matses_15_eye__1
16_nose,dɨbjatɪ,matses_16_nose__1
17_mouth,ana,matses_17_mouth__1
18_foot,taɨ,matses_18_foot__1
19_neck,tɨnite,matses_19_neck__1
20_ear,pabjate,matses_20_ear__1
21_shoulder,kanti tʃatɪ,matses_21_shoulder__1
22_arm,poɾo,matses_22_arm__1
23_chest,ʃidjaʔ,matses_23_chest__1
24_belly,puku,matses_24_belly__1
25_leg,nite,matses_25_leg__1
26_penis,ʃui,matses_26_penis__1
27_vagina,tsjen,matses_27_vagina__1
28_buttock,tsitso,matses_28_buttock__1
29_hair,bo,matses_29_hair__1
29_hair,manɨɾaj,matses_29_hair__2
30_finger,mɨɾante tɨʃbi,matses_30_finger__1
31_toe,taɨ ɾɨʃbi,matses_31_toe__1
32_back,katʃo,matses_32_back__1
33_knee,danɨʃ,matses_33_knee__1
34_eyebrow,bɨʃni,matses_34_eyebrow__1
35_breast,ʃəma,matses_35_breast__1
36_heart,wint̬e,matses_36_heart__1
37_liver,isʲese,matses_37_liver__1
38_intestines,puku,matses_38_intestines__1
39_tongue,ana,matses_39_tongue__1
40_urine,isũn,matses_40_urine__1
41_excrement,tʃimo,matses_41_excrement__1
42_blood,int̬aʔ,matses_42_blood__1
43_nail,mɨntsis,matses_43_nail__1
44_bellybutton,niwʔ,matses_44_bellybutton__1
45_saliva,wiʔtʃoŋ,matses_45_saliva__1
46_ankle,tatete,matses_46_ankle__1
47_earring,paɾjatə,matses_47_earring__1
50_necklace,tɨɾjatɪ,matses_50_necklace__1
51_armoredcatfish,tʃuʃi,matses_51_armoredcatfish__1
52_electriceel,ikenamɨʂ,matses_52_electriceel__1
53_stingray,sɪte,matses_53_stingray__1
54_pirarucu,nwɨʔkitapa,matses_54_pirarucu__1
55_prochilodontidfish,tʃiɾo,matses_55_prochilodontidfish__1
56_silvermylossoma,paɾumita,matses_56_silvermylossoma__1
57_piranha,ʃɨtatʃoki,matses_57_piranha__1
57_piranha,makɨ,matses_57_piranha__2
58_catfishpseudoplatystomafasciatum,bawenɾəpa,matses_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,mɨsj̃ãŋki,matses_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,mɨsiankid bɨɾibɨɾiɾapa,matses_60_catfishzungarozungaro__1
61_cichlidsfish,nwɨki ʂɨɾɨ,matses_61_cichlidsfish__1
62_wildbanana,ʃokoɾʊ,matses_62_wildbanana__1
64_cushcushyam,bɨjə̃ŋ,matses_64_cushcushyam__1
67_manioc,majun patʃiʔ,matses_67_manioc__1
69_cacaotree,daɾan ɾɨso,matses_69_cacaotree__1
70_mocambotree,bɨpɨnwamɨs̺,matses_70_mocambotree__1
71_chestnut,onina katʃo bjeki,matses_71_chestnut__1
72_cashew,weʂnɪ dibjate,matses_72_cashew__1
73_culantro,kuɾantɾo,matses_73_culantro__1
74_tobacco,nɨnɨ,matses_74_tobacco__1
75_peachpalm,iɾi,matses_75_peachpalm__1
76_aguaje,itja,matses_76_aguaje__1
77_patawa,isan,matses_77_patawa__1
78_coconut,koko,matses_78_coconut__1
79_cocona,pu̞pu̞,matses_79_cocona__1
80_taro,kamis̺,matses_80_taro__1
81_stranglerfig,tʃiwiʃ,matses_81_stranglerfig__1
83_giantceibatree,kute patʃi,matses_83_giantceibatree__1
84_cedar,sɨnte,matses_84_cedar__1
85_mahogany,akwanʊ,matses_85_mahogany__1
86_annatto,pjutɛ,matses_86_annatto__1
87_huito,tʃɨtʃɨte,matses_87_huito__1
88_lepidocaryumtenue,tana,matses_88_lepidocaryumtenue__1
89_soapapple,sapote,matses_89_soapapple__1
91_hotpepper,sja,matses_91_hotpepper__1
93_maniocdrink,s̺ikajʔ,matses_93_maniocdrink__1
94_plantaindrink,mani tʃokweʃke,matses_94_plantaindrink__1
95_fishbasedfood,dɨmiʃajʔ,matses_95_fishbasedfood__1
96_arrow,pia,matses_96_arrow__1
97_bow,kanti,matses_97_bow__1
98_harpoon,kɨɾɨ,matses_98_harpoon__1
99_fishtrap,tɨtinte,matses_99_fishtrap__1
100_spear,sjante,matses_100_spear__1
101_temporaryshelter,bɨste,matses_101_temporaryshelter__1
102_blowgun,buʃkante,matses_102_blowgun__1
103_shotgun,tʃõmpj̃ãŋ,matses_103_shotgun__1
104_fishinghook,ansemete,matses_104_fishinghook__1
105_fishpoisonvine,aŋkwes̺te,matses_105_fishpoisonvine__1
106_fishpoisonshrub,tʃĩw̃ŋ,matses_106_fishpoisonshrub__1
107_chaman,nɨnɨ tʃoki,matses_107_chaman__1
109_song,beɾem beɾem ʂuʂu,matses_109_song__1
109_song,wɨʊma,matses_109_song__2
110_design,bɨɾɪ,matses_110_design__1
112_ayahuasca,tsaweʂ iʂun neste,matses_112_ayahuasca__1
114_kambo,akate,matses_114_kambo__1
115_berrybugs,opos̺,matses_115_berrybugs__1
116_southamericanpalmweevillarva,isan maku,matses_116_southamericanpalmweevillarva__1
117_louse,matiʃ,matses_117_louse__1
118_wasp,maɾĩ,matses_118_wasp__1
119_bulletant,ʃɨɾɨ,matses_119_bulletant__1
120_dragonfly,tʃin tʃin,matses_120_dragonfly__1
121_butterfly,poɾotʃweʔ,matses_121_butterfly__1
122_mosquito,biuʃ,matses_122_mosquito__1
123_leafcutterant,mapiɾəkɪ,matses_123_leafcutterant__1
124_spider,tsipwiʃpa,matses_124_spider__1
125_father,amɨ,matses_125_father__1
126_mother,tita,matses_126_mother__1
127_brotherofman,utʃi,matses_127_brotherofman__1
128_manssister,tʃiβ̞i,matses_128_manssister__1
129_womansbrother,utʃi,matses_129_womansbrother__1
130_womanssister,tʃiβ̞i,matses_130_womanssister__1
131_sonofman,maɾo,matses_131_sonofman__1
132_sonofwoman,maɾo,matses_132_sonofwoman__1
133_daughterofman,tʃitu,matses_133_daughterofman__1
134_daughterofwoman,tʃitu,matses_134_daughterofwoman__1
135_river,aʔte,matses_135_river__1
136_lagoon,tʃian,matses_136_lagoon__1
137_sun,uʃɨ,matses_137_sun__1
138_moon,weʃɨ,matses_138_moon__1
