param_id,form,audio
1_agriculturalfield,naːne,ticuna_1_agriculturalfield__1
2_abandonedagriculturalfield,intʃikɨ,ticuna_2_abandonedagriculturalfield__1
3_russetbackedoropendola,baɾɨ,ticuna_3_russetbackedoropendola__1
4x2_blueyellowscarletmacaw,tʃaɾa,ticuna_4x2_blueyellowscarletmacaw__1
5_whitethroatedtoucan,tau,ticuna_5_whitethroatedtoucan__1
6_spixsguan,mawɨ,ticuna_6_spixsguan__1
7_yellowcrownedparrot,weʔu,ticuna_7_yellowcrownedparrot__1
8_bluewingedparrotlet,ẽʔne,ticuna_8_bluewingedparrotlet__1
10_greatkiskadee,tʃoʔɾatʃi,ticuna_10_greatkiskadee__1
11_head,naeɾu,ticuna_11_head__1
12_tooth,napɨta,ticuna_12_tooth__1
13_hand,naʔmeʔ,ticuna_13_hand__1
14_face,natʃiwe,ticuna_14_face__1
15_eye,naetɨ,ticuna_15_eye__1
16_nose,naɾan,ticuna_16_nose__1
17_mouth,naː,ticuna_17_mouth__1
18_foot,nãkutɨ,ticuna_18_foot__1
19_neck,nana,ticuna_19_neck__1
20_ear,naʔpatʃinɨn,ticuna_20_ear__1
21_shoulder,na:tɨ,ticuna_21_shoulder__1
22_arm,natʃakɨ,ticuna_22_arm__1
23_chest,mĩʔĩ,ticuna_23_chest__1
24_belly,napɨtɨweh,ticuna_24_belly__1
25_leg,napeɾemɨ,ticuna_25_leg__1
26_penis,nãʔpetʃiɾãn,ticuna_26_penis__1
27_vagina,nataweʔ,ticuna_27_vagina__1
28_buttock,nataɾa,ticuna_28_buttock__1
29_hair,nadʒe,ticuna_29_hair__1
30_finger,natanɨme,ticuna_30_finger__1
31_toe,nataɾekuʔtɨ,ticuna_31_toe__1
32_back,nakaweʔ,ticuna_32_back__1
33_knee,naapɨ,ticuna_33_knee__1
34_eyebrow,naɨ̃tatɨ,ticuna_34_eyebrow__1
35_breast,nanin,ticuna_35_breast__1
36_heart,mãʔɨ̃ne,ticuna_36_heart__1
37_liver,naka,ticuna_37_liver__1
38_intestines,naŋnɨtaʔ,ticuna_38_intestines__1
39_tongue,kʰonɯ,ticuna_39_tongue__1
40_urine,nãʔɨ̃,ticuna_40_urine__1
41_excrement,nãŋ,ticuna_41_excrement__1
42_blood,nagɨ,ticuna_42_blood__1
43_nail,napatɨ,ticuna_43_nail__1
44_bellybutton,naapetɨnɨ,ticuna_44_bellybutton__1
45_saliva,naʔbeaɣɨ,ticuna_45_saliva__1
46_ankle,ãŋkɨnemetɨ,ticuna_46_ankle__1
47_earring,nãʔ mãtʃinɨ̃n,ticuna_47_earring__1
50_necklace,natʃagɨ,ticuna_50_necklace__1
51_armoredcatfish,owaɾu,ticuna_51_armoredcatfish__1
52_electriceel,taʔuʔ,ticuna_52_electriceel__1
53_stingray,naʔɨ̃,ticuna_53_stingray__1
54_pirarucu,deʔtʃi,ticuna_54_pirarucu__1
55_prochilodontidfish,tʃiɾimata,ticuna_55_prochilodontidfish__1
56_silvermylossoma,paku,ticuna_56_silvermylossoma__1
57_piranha,u:tʃuma,ticuna_57_piranha__1
59_catfishcallichthyscallichthys,mõ:nĩ,ticuna_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,kopaɾaɾi,ticuna_60_catfishzungarozungaro__1
60_catfishzungarozungaro,dʒutaʔ,ticuna_60_catfishzungarozungaro__2
61_cichlidsfish,tʃunã,ticuna_61_cichlidsfish__1
62_wildbanana,beɾeatɨ,ticuna_62_wildbanana__1
64_cushcushyam,ui,ticuna_64_cushcushyam__1
65_sachainchi,satʃaintʃi,ticuna_65_sachainchi__1
66_peanut,tetɯ,ticuna_66_peanut__1
67_manioc,tɨʔe,ticuna_67_manioc__1
68_piripiri,piɾipiɾi,ticuna_68_piripiri__1
69_cacaotree,tʃapeɾe,ticuna_69_cacaotree__1
70_mocambotree,ŋũ,ticuna_70_mocambotree__1
71_chestnut,kastaɲa,ticuna_71_chestnut__1
72_cashew,koʔɨ,ticuna_72_cashew__1
73_culantro,tʃikuɾi,ticuna_73_culantro__1
74_tobacco,poɾi,ticuna_74_tobacco__1
75_peachpalm,ĩ:tɨ,ticuna_75_peachpalm__1
76_aguaje,teːmã,ticuna_76_aguaje__1
77_patawa,dɨ,ticuna_77_patawa__1
78_coconut,koko,ticuna_78_coconut__1
79_cocona,beːɾe,ticuna_79_cocona__1
81_stranglerfig,pajnɨ,ticuna_81_stranglerfig__1
82_camucamu,kʰamu kʰamu,ticuna_82_camucamu__1
83_giantceibatree,βotʃinë,ticuna_83_giantceibatree__1
84_cedar,okadʒiwa,ticuna_84_cedar__1
86_annatto,ɨʔta,ticuna_86_annatto__1
87_huito,e:,ticuna_87_huito__1
88_lepidocaryumtenue,moːɾʊ,ticuna_88_lepidocaryumtenue__1
89_soapapple,oteɾe,ticuna_89_soapapple__1
91_hotpepper,mẽʔẽ,ticuna_91_hotpepper__1
93_maniocdrink,tʃaʔə̃,ticuna_93_maniocdrink__1
94_plantaindrink,mĩgaʔɨ̃,ticuna_94_plantaindrink__1
95_fishbasedfood,nuʔke,ticuna_95_fishbasedfood__1
96_arrow,tʃʊʔtʃi,ticuna_96_arrow__1
97_bow,βɨɾa,ticuna_97_bow__1
98_harpoon,βokae,ticuna_98_harpoon__1
99_fishtrap,tɾampeɾa,ticuna_99_fishtrap__1
100_spear,wokʰae,ticuna_100_spear__1
101_temporaryshelter,dɨʔenɨ̃,ticuna_101_temporaryshelter__1
101_temporaryshelter,ĩʔãkɨ,ticuna_101_temporaryshelter__2
101_temporaryshelter,kutʃina,ticuna_101_temporaryshelter__3
102_blowgun,ĩʔẽ,ticuna_102_blowgun__1
103_shotgun,mũkawa,ticuna_103_shotgun__1
104_fishinghook,poʔwa,ticuna_104_fishinghook__1
105_fishpoisonvine,ɨʔɨ̃ʔɨ̃,ticuna_105_fishpoisonvine__1
107_chaman,dʒuuʔɨ̃,ticuna_107_chaman__1
109_song,kaːŋ,ticuna_109_song__1
110_design,nãmatɨh,ticuna_110_design__1
113_angelstears,toe,ticuna_113_angelstears__1
115_berrybugs,ae,ticuna_115_berrybugs__1
116_southamericanpalmweevillarva,boʔo,ticuna_116_southamericanpalmweevillarva__1
117_louse,naʔtʃi,ticuna_117_louse__1
118_wasp,mãʔẽ,ticuna_118_wasp__1
118_wasp,beɾatɨ,ticuna_118_wasp__2
119_bulletant,toʔɨh,ticuna_119_bulletant__1
120_dragonfly,dʒutʃi,ticuna_120_dragonfly__1
121_butterfly,ðuɾi,ticuna_121_butterfly__1
122_mosquito,ãʔa,ticuna_122_mosquito__1
123_leafcutterant,najʝuː,ticuna_123_leafcutterant__1
124_spider,pawɨh,ticuna_124_spider__1
125_father,nanaʔtɨ,ticuna_125_father__1
125_father,papaʔ,ticuna_125_father__2
126_mother,mama,ticuna_126_mother__1
127_brotherofman,tʃawɪne,ticuna_127_brotherofman__1
127_brotherofman,kuene,ticuna_127_brotherofman__2
127_brotherofman,nãẽnẽ,ticuna_127_brotherofman__3
128_manssister,naeʔdʒa̰,ticuna_128_manssister__1
129_womansbrother,nãẽnẽ,ticuna_129_womansbrother__1
130_womanssister,naeʔdʒa̰,ticuna_130_womanssister__1
131_sonofman,nane,ticuna_131_sonofman__1
132_sonofwoman,nane,ticuna_132_sonofwoman__1
133_daughterofman,nãʔãkɨ,ticuna_133_daughterofman__1
135_river,nãtɨ,ticuna_135_river__1
136_lagoon,nãʔtaʔa,ticuna_136_lagoon__1
137_sun,ɨaʔkʰɨ,ticuna_137_sun__1
138_moon,tawemakʰɨ,ticuna_138_moon__1
139_rain,pʊʔkɨ,ticuna_139_rain__1
140_cloud,kajʔaneʔɨ̃,ticuna_140_cloud__1
141_mountain,maʔpɨʔne,ticuna_141_mountain__1
142_lightning,ãẽmãkɨ,ticuna_142_lightning__1
142_lightning,bajʔbeaneʔɨ̃,ticuna_142_lightning__2
143_thunder,duɾuanɛ,ticuna_143_thunder__1
144_rock,nũta,ticuna_144_rock__1
145_leaf,na:tɨ,ticuna_145_leaf__1
146_fire,ɨʔɨjma,ticuna_146_fire__1
147_water,deʔa,ticuna_147_water__1
148_star,βoɾamakuɾi,ticuna_148_star__1
149_soilearth,waʔimɨ,ticuna_149_soilearth__1
150_tapir,nakʰɨ,ticuna_150_tapir__1
151_agouti,tʃiːɣu,ticuna_151_agouti__1
152_lowlandpaca,ŋã,ticuna_152_lowlandpaca__1
153_whitelippedpeccary,guʔɨ̃,ticuna_153_whitelippedpeccary__1
154_capybara,kopiwaɾa,ticuna_154_capybara__1
155_jaguar,ai,ticuna_155_jaguar__1
158_redhowlercotomono,ɟeʔe,ticuna_158_redhowlercotomono__1
159_southamericancoati,tʃaʔtɨʔ,ticuna_159_southamericancoati__1
161_squirrelmonkeyfrailecillo,maj̃ẽtʃa,ticuna_161_squirrelmonkeyfrailecillo__1
163_amazonriverdolphin,õmãtʃa,ticuna_163_amazonriverdolphin__1
164_sloth,poβi,ticuna_164_sloth__1
165_armadillo,ĩʔkɨ,ticuna_165_armadillo__1
166_anteater,tʃatɨ,ticuna_166_anteater__1
168_woollymonkey,õme,ticuna_168_woollymonkey__1
170_fabric,naʔpɨ,ticuna_170_fabric__1
172_pitcher,tɨʔɨ̃,ticuna_172_pitcher__1
173_dye,tʃaɨneɾɨ,ticuna_173_dye__1
175_house,ĩpata,ticuna_175_house__1
175_house,ĩ,ticuna_175_house__2
176_quena,woβeɾʊ,ticuna_176_quena__1
177_drum,toto,ticuna_177_drum__1
179_one,βɨʔi,ticuna_179_one__1
180_two,taʔɾeʔ,ticuna_180_two__1
181_three,tomae̯pɨ,ticuna_181_three__1
182_four,aŋgɨmɨkɨ,ticuna_182_four__1
183_five,gumepɨʔ,ticuna_183_five__1
185_several,mũʔũ,ticuna_185_several__1
186_countryfellow,tʃawene,ticuna_186_countryfellow__1
187_foreign,tõmã,ticuna_187_foreign__1
188_language,naɣa,ticuna_188_language__1
188_language,tomaga,ticuna_188_language__2
189_man,dʒatɨ,ticuna_189_man__1
190_woman,ŋɣeʔɨ̃,ticuna_190_woman__1
191_i,tʃomaʔ,ticuna_191_i__1
192_you2sg,kũmãʔ,ticuna_192_you2sg__1
193_heshe,dʒiemaʔ,ticuna_193_heshe__1
194_weallincl,tomaʔ,ticuna_194_weallincl__1
194_weallincl,tomagɨʔ,ticuna_194_weallincl__2
196_you2pl,pemaʔ,ticuna_196_you2pl__1
197_they,nãmãgɨʔ,ticuna_197_they__1
198_some,nãmãʔɨ̃ʔ,ticuna_198_some__1
200_many,muʔɨ̃,ticuna_200_many__1
201_none,taʔuma,ticuna_201_none__1
202_few,noʔreʔ,ticuna_202_few__1
203_all,gũʔẽmãʔ,ticuna_203_all__1
204_half,nãʔə̃,ticuna_204_half__1
205_bunch,natɨtʃi,ticuna_205_bunch__1
206_pair,taʔɾeʔ,ticuna_206_pair__1
207_both,taʔɾeʔ,ticuna_207_both__1
208_southernamericanbushmaster,naβɨ,ticuna_208_southernamericanbushmaster__1
209_lizard,kodʒa,ticuna_209_lizard__1
