Language,Family,+,a,aː,b,bw,c,d,dj,dz,dzh,dʒ,e,eː,f,g,gj,h,hj,hw,hə,i,iː,j,k,kh,kj,kjh,kw,kwh,l,lj,m,mb,mj,mp,mw,n,nb,nd,nː,o,oː,p,ph,pj,pw,pə,q,r,s,sj,t,th,tj,tjh,ts,tsh,tsj,tə,tʃ,tʃj,u,uː,v,w,x,y,z,æ,ð,ŋ,ɐ,ɒ,ɔ,ɖ,ɖʐ,ɘ,ə,əː,ɛ,ɛː,ɜ,ɟ,ɣ,ɣj,ɤ,ɨ,ɨː,ɪ,ɪː,ɫ,ɯ,ɯː,ɰ,ɲ,ɸ,ɸw,ɹ,ɻ,ɾ,ɾə,ʂ,ʂw,ʃ,ʃh,ʃj,ʃw,ʉ,ʊ,ʊː,ʎ,ʐ,ʒ,ʔ,ʝ,β,βw,χ
Mastanawa,Pano-Tacanan,10,185,8,23,1,1,52,0,0,0,3,0,0,0,0,0,3,0,1,0,125,8,18,34,0,0,0,0,0,1,0,19,0,0,0,0,20,0,1,0,9,0,50,0,0,0,0,0,1,14,0,61,0,0,0,5,0,0,0,25,0,53,2,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,4,22,0,0,0,0,0,1,17,28,0,0,32,0,49,0,24,0,0,0,0,63,3,0,0,0,19,1,6,1,0
Matses,Pano-Tacanan,28,163,0,45,0,0,28,0,0,0,0,96,0,0,0,0,2,0,0,0,114,0,38,67,0,0,0,0,0,0,0,45,0,0,0,0,82,0,1,0,56,0,44,0,0,0,0,0,0,34,2,93,0,0,0,14,0,0,0,49,0,48,0,0,33,0,0,0,0,0,17,0,0,1,0,0,0,14,0,1,0,0,0,0,0,2,86,0,20,0,0,0,0,0,0,0,0,0,0,54,0,13,0,41,0,0,0,0,4,0,0,0,0,21,0,7,0,0
Matsigenka,Arawakan,3,260,2,18,0,0,1,0,0,0,0,95,0,0,30,0,1,0,0,0,319,1,24,92,2,0,0,0,0,0,0,62,0,0,0,0,161,0,0,0,158,0,63,0,0,0,0,0,0,25,0,94,0,0,0,25,0,0,0,95,0,2,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,29,1,0,1,0,8,0,0,0,0,0,1,0,0,0,0,127,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,9,0,0
Murui,Huitotoan,1,162,0,29,0,0,43,0,0,0,26,99,0,2,25,1,46,0,0,0,62,0,45,59,5,0,0,0,0,0,0,65,0,0,0,0,70,0,0,0,135,3,2,0,0,0,0,0,0,25,0,22,0,0,0,0,0,0,0,0,0,41,0,0,11,3,0,0,2,0,4,1,0,0,0,0,12,16,0,0,0,1,0,0,0,1,78,1,26,0,0,1,0,0,25,19,5,0,0,45,0,0,0,0,0,0,0,1,9,0,0,0,1,10,0,0,0,0
Ocaina,Huitotoan,3,120,3,10,0,0,12,8,4,0,1,5,0,4,3,0,71,0,0,0,47,0,41,24,4,1,0,0,0,0,0,46,0,0,0,0,23,0,0,0,166,3,2,0,0,0,0,0,0,7,0,27,1,17,0,2,0,1,0,1,0,5,0,0,9,47,0,0,1,0,11,16,0,6,0,0,0,22,0,2,0,0,1,1,0,0,43,0,16,0,0,0,0,0,36,29,5,0,0,26,0,2,1,3,0,0,0,0,51,0,0,0,0,29,2,10,0,1
Pastaza Kichwa,Quechuan,7,301,0,13,0,0,16,0,3,0,4,12,0,1,19,0,1,0,0,0,119,0,32,82,0,1,0,0,0,13,0,51,0,0,0,0,68,0,0,0,45,0,56,0,0,0,0,1,2,38,0,28,0,2,0,1,0,0,0,49,1,99,0,0,51,4,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,59,0,0,0,23,0,0,0,0,8,0,11,2,0,0,0,1,0,0
Sharanahua,Pano-Tacanan,16,202,4,32,0,0,36,0,0,0,4,7,0,0,3,0,5,0,1,0,117,4,28,73,0,0,0,0,0,3,0,25,3,0,1,0,39,0,1,0,54,1,45,0,0,1,0,0,0,25,0,61,0,0,0,7,0,0,0,25,0,36,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,102,5,31,1,0,0,0,0,2,28,24,2,0,42,0,29,2,27,0,0,0,0,46,2,0,0,0,1,2,8,2,0
Shawandawá,Pano-Tacanan,24,209,7,28,0,1,46,0,0,0,0,2,0,0,0,0,1,0,0,0,170,7,29,72,0,0,0,0,0,2,0,14,0,0,0,0,51,0,0,0,37,0,65,0,0,0,0,0,0,35,0,69,0,0,0,11,0,0,0,23,0,76,6,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,106,0,5,0,0,0,0,0,4,58,0,0,0,42,0,38,0,29,0,0,0,0,29,0,0,0,0,0,0,5,0,0
Shawi,Cahuapanan,1,271,4,1,1,1,1,0,0,0,0,30,0,0,0,0,20,0,0,0,167,2,41,72,0,0,0,0,0,0,0,48,0,0,0,0,162,0,0,0,6,0,64,0,0,0,0,0,2,39,0,83,0,0,0,1,0,0,0,11,0,106,2,0,58,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,60,1,0,0,0,9,0,0,0,0,0,0,0,71,0,0,0,39,0,0,0,0,25,0,0,0,0,164,0,14,0,0
Shipibo-Konibo,Pano-Tacanan,13,204,0,42,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,141,0,29,73,0,0,0,0,0,0,0,49,0,0,0,0,100,0,0,0,5,0,55,0,0,1,0,0,0,21,0,68,0,0,0,7,0,0,0,18,0,142,0,0,46,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,0,1,0,0,0,0,0,3,0,0,0,30,5,0,38,0,26,0,0,0,0,1,0,0,0,0,0,0,19,1,0
Shiwilu,Cahuapanan,3,268,0,13,0,0,22,0,0,0,3,20,0,0,6,0,0,0,0,0,137,1,12,138,1,1,0,0,0,90,0,56,0,0,0,0,100,0,0,0,2,0,69,0,0,0,0,0,0,53,0,64,0,0,0,0,0,0,2,20,0,159,0,0,41,0,0,0,0,43,40,0,0,0,0,0,99,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,27,11,0,0,11,0,0,0,0,11,0,43,0,0,121,0,0,0,0
Ticuna,Ticuna-Yuri,2,221,5,12,0,0,6,0,0,0,15,100,3,0,11,0,4,0,0,0,56,3,7,38,7,0,0,0,0,0,0,57,0,0,0,0,112,0,0,0,40,3,36,0,0,0,0,0,2,2,0,63,0,0,0,0,0,0,0,43,0,43,3,0,25,0,0,0,0,1,12,0,0,0,0,0,0,2,0,1,0,0,1,5,0,0,102,0,1,0,0,2,0,0,3,0,0,0,0,42,0,0,0,0,0,0,0,0,5,0,0,0,0,109,2,8,0,0
Wampis,Chicham,7,237,1,0,0,3,1,0,0,0,0,6,2,0,6,0,21,0,0,0,87,2,44,103,0,0,0,0,0,0,0,98,0,0,0,1,86,0,0,0,10,1,42,0,0,0,0,0,0,14,0,61,0,1,0,24,0,0,0,39,0,97,0,0,35,0,0,0,1,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,6,0,0,0,0,0,6,0,1,0,0,35,0,0,0,26,0,0,1,0,25,0,0,0,0,0,0,9,0,0
Yagua,Peba-Yagua,1,239,13,18,0,6,8,0,0,0,2,52,0,0,1,0,50,1,0,0,47,2,39,34,1,1,0,0,0,1,0,42,0,0,0,0,108,0,0,0,54,1,20,3,0,2,0,0,38,41,0,75,1,10,0,9,0,0,2,9,0,44,0,1,49,0,0,0,7,2,5,1,0,3,0,0,2,37,0,37,2,0,0,0,0,0,14,0,48,0,0,0,0,0,8,1,0,0,0,62,1,0,0,7,1,3,0,0,61,0,0,14,0,0,0,0,0,0
Yanesha,Arawakan,1,159,19,2,0,0,0,0,0,0,0,169,15,0,1,0,41,0,0,0,2,0,26,50,3,0,0,0,0,0,0,61,0,4,0,5,44,0,0,0,114,17,56,14,2,4,0,0,4,22,0,52,7,0,0,71,0,0,0,36,25,1,1,0,13,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,40,0,0,0,0,38,0,17,0,29,0,0,0,0,0,1,26,15,0,75,0,2,0,0
Yanesha (Amuesha),Arawakan,1,153,22,2,0,0,0,0,0,0,0,173,8,0,1,0,41,0,0,0,3,0,26,50,3,0,0,0,0,0,1,66,0,4,0,0,44,0,0,0,122,11,59,13,3,0,0,0,4,21,0,52,6,0,0,70,0,0,0,36,25,2,0,0,20,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,40,0,0,0,0,38,0,18,0,28,0,0,0,0,1,0,25,16,0,65,0,2,0,0
Yine (Piro),Arawakan,15,213,0,2,0,40,4,0,0,0,7,74,0,0,1,0,87,0,0,1,201,0,33,98,1,0,0,0,0,37,0,34,0,0,0,1,79,0,0,1,94,0,63,1,0,0,3,0,1,32,0,48,0,0,0,12,0,0,0,60,4,11,0,0,68,0,0,0,0,0,4,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,107,0,10,0,25,0,0,0,1,1,0,0,0,61,0,0,0,20,0,0,0,0,1,0,2,0,0,0,3,1,0,0
