param_id,form,audio
1_agriculturalfield,waːiʔ,amahuaca_1_agriculturalfield__1
2_abandonedagriculturalfield,maːɨʔ,amahuaca_2_abandonedagriculturalfield__1
3_russetbackedoropendola,iskoʔ,amahuaca_3_russetbackedoropendola__1
3_russetbackedoropendola,tʃandaʔ,amahuaca_3_russetbackedoropendola__2
4_scarletmacaw,çãː,amahuaca_4_scarletmacaw__1
5_whitethroatedtoucan,çukɨ,amahuaca_5_whitethroatedtoucan__1
6_spixsguan,kɨβʊ,amahuaca_6_spixsguan__1
7_yellowcrownedparrot,waː,amahuaca_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pitsoʔ,amahuaca_8_bluewingedparrotlet__1
9_ringedkingfisher,hɨndɨ tʃaça̰,amahuaca_9_ringedkingfisher__1
11_head,mapo̰,amahuaca_11_head__1
12_tooth,çɨtaʔ,amahuaca_12_tooth__1
13_hand,mɨkɨ̃n,amahuaca_13_hand__1
14_face,wɨmanaʔ,amahuaca_14_face__1
15_eye,wɨːɾʊ,amahuaca_15_eye__1
16_nose,ɾɨkĩː,amahuaca_16_nose__1
17_mouth,kʰɨça̰ː,amahuaca_17_mouth__1
18_foot,taʔɨ,amahuaca_18_foot__1
19_neck,tɨço,amahuaca_19_neck__1
20_ear,pawĩnki,amahuaca_20_ear__1
21_shoulder,pɨçaka,amahuaca_21_shoulder__1
22_arm,pʊj̃ã,amahuaca_22_arm__1
23_chest,çutʃi,amahuaca_23_chest__1
24_belly,pʊko̰,amahuaca_24_belly__1
25_leg,kiʃiʔ,amahuaca_25_leg__1
26_penis,bʊʃki,amahuaca_26_penis__1
27_vagina,tʃispɪʔ,amahuaca_27_vagina__1
28_buttock,tʃĩnkã,amahuaca_28_buttock__1
29_hair,wʊː,amahuaca_29_hair__1
30_finger,mɨkɨ̃n,amahuaca_30_finger__1
31_toe,taʔɨ,amahuaca_31_toe__1
32_back,katɨʔ,amahuaca_32_back__1
33_knee,ɾantʊnkoʔ,amahuaca_33_knee__1
34_eyebrow,wɨʃpɪʔ,amahuaca_34_eyebrow__1
35_breast,tʃʊtʃʊ,amahuaca_35_breast__1
36_heart,hujntɪʔ,amahuaca_36_heart__1
37_liver,takaʔ,amahuaca_37_liver__1
38_intestines,pʊko̰,amahuaca_38_intestines__1
39_tongue,handaʔ,amahuaca_39_tongue__1
40_urine,hĩns̺ʊ̃,amahuaca_40_urine__1
41_excrement,puʔi,amahuaca_41_excrement__1
42_blood,himbiʔ,amahuaca_42_blood__1
43_nail,mɨntsis,amahuaca_43_nail__1
44_bellybutton,naːtʊ,amahuaca_44_bellybutton__1
45_saliva,hʊʃtoka,amahuaca_45_saliva__1
46_ankle,ɾawʊçkoʔ,amahuaca_46_ankle__1
47_earring,paɾʊrʊ̃ntɪʔ,amahuaca_47_earring__1
48_feathercrown,maːitɪʔ,amahuaca_48_feathercrown__1
49_menstraditionalrobe,taɾiʔ,amahuaca_49_menstraditionalrobe__1
50_necklace,kakɨtɪʔ,amahuaca_50_necklace__1
51_armoredcatfish,ipoʔ,amahuaca_51_armoredcatfish__1
52_electriceel,kʊniʔa̰,amahuaca_52_electriceel__1
53_stingray,ʔiː,amahuaca_53_stingray__1
54_pirarucu,wambɨʔ,amahuaca_54_pirarucu__1
55_prochilodontidfish,jumbaʔ,amahuaca_55_prochilodontidfish__1
56_silvermylossoma,pitʃaː,amahuaca_56_silvermylossoma__1
57_piranha,makɨʔ,amahuaca_57_piranha__1
58_catfishpseudoplatystomafasciatum,wãĩ,amahuaca_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tʊnõn,amahuaca_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,waʔĩ,amahuaca_60_catfishzungarozungaro__1
61_cichlidsfish,maʔĩ,amahuaca_61_cichlidsfish__1
62_wildbanana,mandiʔ,amahuaca_62_wildbanana__1
63_wildgarlic,wʊwaʔ,amahuaca_63_wildgarlic__1
64_cushcushyam,pʊːa,amahuaca_64_cushcushyam__1
66_peanut,tambaʔ,amahuaca_66_peanut__1
67_manioc,atsaʔ,amahuaca_67_manioc__1
68_piripiri,s̺ako,amahuaca_68_piripiri__1
69_cacaotree,tʃãnçʊ̃ɾɨ̃nça,amahuaca_69_cacaotree__1
70_mocambotree,makambo,amahuaca_70_mocambotree__1
71_chestnut,kastaɲa,amahuaca_71_chestnut__1
72_cashew,kaʃʊʔ,amahuaca_72_cashew__1
73_culantro,kulantro,amahuaca_73_culantro__1
74_tobacco,rumbɨʔ,amahuaca_74_tobacco__1
75_peachpalm,waːnibiʔ,amahuaca_75_peachpalm__1
76_aguaje,winʊ̃ⁿ,amahuaca_76_aguaje__1
77_patawa,isan,amahuaca_77_patawa__1
78_coconut,kʊkʊ,amahuaca_78_coconut__1
79_cocona,pupoː,amahuaca_79_cocona__1
80_taro,mɨnto,amahuaca_80_taro__1
81_stranglerfig,jumɨn,amahuaca_81_stranglerfig__1
82_camucamu,awɨkoʔ,amahuaca_82_camucamu__1
83_giantceibatree,çundʊʔ,amahuaca_83_giantceibatree__1
84_cedar,kũnçã,amahuaca_84_cedar__1
85_mahogany,iʃkanantɪ̰,amahuaca_85_mahogany__1
86_annatto,maçɨ̰,amahuaca_86_annatto__1
87_huito,nandɨʔ,amahuaca_87_huito__1
88_lepidocaryumtenue,kʊtɪ̰,amahuaca_88_lepidocaryumtenue__1
89_soapapple,hɨtʃiβiʔ,amahuaca_89_soapapple__1
91_hotpepper,jutʃiʔ,amahuaca_91_hotpepper__1
92_wayruru,çɨtakɨkũĩn,amahuaca_92_wayruru__1
93_maniocdrink,atsa tʊkʊ̃,amahuaca_93_maniocdrink__1
94_plantaindrink,mani ataːska,amahuaca_94_plantaindrink__1
95_fishbasedfood,imba̰ː,amahuaca_95_fishbasedfood__1
96_arrow,pija,amahuaca_96_arrow__1
97_bow,piakantɪ,amahuaca_97_bow__1
98_harpoon,çɨntʃaʔ,amahuaca_98_harpoon__1
99_fishtrap,ɾikaʔ,amahuaca_99_fishtrap__1
100_spear,tʃikaɾʊ,amahuaca_100_spear__1
101_temporaryshelter,tapas,amahuaca_101_temporaryshelter__1
103_shotgun,toʔatɪʔ,amahuaca_103_shotgun__1
104_fishinghook,miʃkitɪʔ,amahuaca_104_fishinghook__1
105_fishpoisonvine,ʔaçĩãn,amahuaca_105_fishpoisonvine__1
106_fishpoisonshrub,waka,amahuaca_106_fishpoisonshrub__1
107_chaman,juwɨ,amahuaca_107_chaman__1
108_healer,juwɨːβʊ,amahuaca_108_healer__1
109_song,wɨʔaʔiʔ,amahuaca_109_song__1
110_design,kɨndɨ,amahuaca_110_design__1
111x1_perforationoreja,ɾɨokĩn,amahuaca_111x1_perforationoreja__1
111x2_perforationnaiz,paoʔḭ,amahuaca_111x2_perforationnaiz__1
112_ayahuasca,undiʔ,amahuaca_112_ayahuasca__1
113_angelstears,tʃʊtʃʊpanda,amahuaca_113_angelstears__1
114_kambo,kãnpõ,amahuaca_114_kambo__1
115_berrybugs,hʊnpoç,amahuaca_115_berrybugs__1
116_southamericanpalmweevillarva,suɾi,amahuaca_116_southamericanpalmweevillarva__1
117_louse,ijaʔ,amahuaca_117_louse__1
118_wasp,windaʔ,amahuaca_118_wasp__1
119_bulletant,bundaʔ,amahuaca_119_bulletant__1
121_butterfly,kukuʃ,amahuaca_121_butterfly__1
122_mosquito,ʃiʊ,amahuaca_122_mosquito__1
123_leafcutterant,maçkɨ̃n,amahuaca_123_leafcutterant__1
124_spider,ʃindaçʊko,amahuaca_124_spider__1
125_father,ɨpa̰,amahuaca_125_father__1
126_mother,ɨʔa̰,amahuaca_126_mother__1
127_brotherofman,tʃambiʔ,amahuaca_127_brotherofman__1
128_manssister,tʃuka,amahuaca_128_manssister__1
129_womansbrother,tʃambiʔ,amahuaca_129_womansbrother__1
130_womanssister,tʃipiʔ,amahuaca_130_womanssister__1
131_sonofman,wakɨʔ,amahuaca_131_sonofman__1
132_sonofwoman,wakɨ hʊndɪ̰,amahuaca_132_sonofwoman__1
133_daughterofman,wakɨ çando̰,amahuaca_133_daughterofman__1
134_daughterofwoman,wakɨ çando̰,amahuaca_134_daughterofwoman__1
135_river,hɨndɨʔ,amahuaca_135_river__1
