param_id,form,audio
1_agriculturalfield,ãh̃ã,awajun_1_agriculturalfield__1
3_russetbackedoropendola,tɨʃ,awajun_3_russetbackedoropendola__1
5_whitethroatedtoucan,tsukaŋka,awajun_5_whitethroatedtoucan__1
6_spixsguan,βaɣa,awajun_6_spixsguan__1
7_yellowcrownedparrot,kawaw,awajun_7_yellowcrownedparrot__1
8_bluewingedparrotlet,kĩh̃ũs,awajun_8_bluewingedparrotlet__1
11_head,bu,awajun_11_head__1
12_tooth,dai,awajun_12_tooth__1
13_hand,uwɨ,awajun_13_hand__1
14_face,japi,awajun_14_face__1
15_eye,hi,awajun_15_eye__1
16_nose,duhi,awajun_16_nose__1
17_mouth,wɨnɪ,awajun_17_mouth__1
18_foot,dawɨ,awajun_18_foot__1
19_neck,suwɨ,awajun_19_neck__1
20_ear,kuiʃ,awajun_20_ear__1
21_shoulder,jakaj,awajun_21_shoulder__1
22_arm,jakɪ̃h̃ĩ,awajun_22_arm__1
23_chest,ditsɨp̚,awajun_23_chest__1
24_belly,ampʊ̃m,awajun_24_belly__1
25_leg,bakuŋ,awajun_25_leg__1
26_penis,kata,awajun_26_penis__1
27_vagina,tʃuki,awajun_27_vagina__1
28_buttock,puhutɛjn,awajun_28_buttock__1
29_hair,intaʃ,awajun_29_hair__1
32_back,tuntup̚,awajun_32_back__1
33_knee,tikiʃ,awajun_33_knee__1
34_eyebrow,tambɨŋkɨa,awajun_34_eyebrow__1
35_breast,muntsũŋ,awajun_35_breast__1
36_heart,anɨntej,awajun_36_heart__1
37_liver,akap̚,awajun_37_liver__1
38_intestines,wakɨn,awajun_38_intestines__1
39_tongue,idaɪ̯,awajun_39_tongue__1
40_urine,ʃiki,awajun_40_urine__1
41_excrement,iha,awajun_41_excrement__1
42_blood,numpa,awajun_42_blood__1
43_nail,nantʃik̚,awajun_43_nail__1
44_bellybutton,untuʃ,awajun_44_bellybutton__1
45_saliva,usuk̚,awajun_45_saliva__1
46_ankle,wanus,awajun_46_ankle__1
47_earring,akitɛ̃,awajun_47_earring__1
48_feathercrown,tawas,awajun_48_feathercrown__1
49_menstraditionalrobe,itipak̚,awajun_49_menstraditionalrobe__1
50_necklace,iβãŋmãmtẽ,awajun_50_necklace__1
51_armoredcatfish,putu,awajun_51_armoredcatfish__1
52_electriceel,hãŋkija,awajun_52_electriceel__1
53_stingray,kaʃap̚,awajun_53_stingray__1
55_prochilodontidfish,kaŋka,awajun_55_prochilodontidfish__1
56_silvermylossoma,pani,awajun_56_silvermylossoma__1
57_piranha,tani,awajun_57_piranha__1
58_catfishpseudoplatystomafasciatum,dukum tumkaɨ,awajun_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,jutuj,awajun_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,tuŋkaɨ,awajun_60_catfishzungarozungaro__1
61_cichlidsfish,kantaʃ,awajun_61_cichlidsfish__1
