param_id,form,audio
1_agriculturalfield,waj,shipibokonibo_1_agriculturalfield__1
2_abandonedagriculturalfield,nawɨ,shipibokonibo_2_abandonedagriculturalfield__1
3_russetbackedoropendola,kɨbu,shipibokonibo_3_russetbackedoropendola__1
4_scarletmacaw,ʂawan,shipibokonibo_4_scarletmacaw__1
5_whitethroatedtoucan,ʂukɨ,shipibokonibo_5_whitethroatedtoucan__1
6_spixsguan,hasin,shipibokonibo_6_spixsguan__1
7_yellowcrownedparrot,bawa,shipibokonibo_7_yellowcrownedparrot__1
8_bluewingedparrotlet,pitsu,shipibokonibo_8_bluewingedparrotlet__1
9_ringedkingfisher,tʃaɻaʂ,shipibokonibo_9_ringedkingfisher__1
10_greatkiskadee,piʃtukɨ,shipibokonibo_10_greatkiskadee__1
11_head,mapu,shipibokonibo_11_head__1
12_tooth,ʂɨta,shipibokonibo_12_tooth__1
13_hand,mɨkɨn,shipibokonibo_13_hand__1
14_face,bɨmana,shipibokonibo_14_face__1
15_eye,bɨɻu,shipibokonibo_15_eye__1
16_nose,ɻɨkin,shipibokonibo_16_nose__1
17_mouth,kɨʂa,shipibokonibo_17_mouth__1
18_foot,taɨ,shipibokonibo_18_foot__1
19_neck,tɨʂo,shipibokonibo_19_neck__1
20_ear,pabiki,shipibokonibo_20_ear__1
21_shoulder,kapɨʂ,shipibokonibo_21_shoulder__1
22_arm,puɲa,shipibokonibo_22_arm__1
23_chest,ʂutʃi,shipibokonibo_23_chest__1
24_belly,puku,shipibokonibo_24_belly__1
25_leg,kiʃi,shipibokonibo_25_leg__1
26_penis,buʃi,shipibokonibo_26_penis__1
27_vagina,ʂɨβi,shipibokonibo_27_vagina__1
28_buttock,pwinki,shipibokonibo_28_buttock__1
29_hair,bu,shipibokonibo_29_hair__1
30_finger,mɨtuti,shipibokonibo_30_finger__1
31_toe,taɨmubi,shipibokonibo_31_toe__1
32_back,pɨka,shipibokonibo_32_back__1
33_knee,ɻamβuʃu,shipibokonibo_33_knee__1
34_eyebrow,bɨɾukɨʂni,shipibokonibo_34_eyebrow__1
35_breast,ʂuma,shipibokonibo_35_breast__1
36_heart,hujnti,shipibokonibo_36_heart__1
37_liver,taka,shipibokonibo_37_liver__1
38_intestines,pukubu,shipibokonibo_38_intestines__1
39_tongue,hana,shipibokonibo_39_tongue__1
40_urine,hisun,shipibokonibo_40_urine__1
41_excrement,pui,shipibokonibo_41_excrement__1
42_blood,himi,shipibokonibo_42_blood__1
43_nail,mɨntsis,shipibokonibo_43_nail__1
44_bellybutton,pukutɨʂu,shipibokonibo_44_bellybutton__1
45_saliva,tuʂβa,shipibokonibo_45_saliva__1
46_ankle,taɨpatunku,shipibokonibo_46_ankle__1
47_earring,paɾunuti,shipibokonibo_47_earring__1
48_feathercrown,majti,shipibokonibo_48_feathercrown__1
49_menstraditionalrobe,taɻi,shipibokonibo_49_menstraditionalrobe__1
50_necklace,tɨuti,shipibokonibo_50_necklace__1
51_armoredcatfish,ipu,shipibokonibo_51_armoredcatfish__1
52_electriceel,kunĩwa,shipibokonibo_52_electriceel__1
53_stingray,iβi,shipibokonibo_53_stingray__1
54_pirarucu,wamɨ,shipibokonibo_54_pirarucu__1
55_prochilodontidfish,buɨ,shipibokonibo_55_prochilodontidfish__1
56_silvermylossoma,pitʃa,shipibokonibo_56_silvermylossoma__1
57_piranha,makɨ,shipibokonibo_57_piranha__1
58_catfishpseudoplatystomafasciatum,bawin,shipibokonibo_58_catfishpseudoplatystomafasciatum__1
59_catfishcallichthyscallichthys,tunun,shipibokonibo_59_catfishcallichthyscallichthys__1
60_catfishzungarozungaro,bawin,shipibokonibo_60_catfishzungarozungaro__1
61_cichlidsfish,kɨʃu,shipibokonibo_61_cichlidsfish__1
62_wildbanana,manipʷɨj,shipibokonibo_62_wildbanana__1
63_wildgarlic,βuajns,shipibokonibo_63_wildgarlic__1
64_cushcushyam,pwaʰ,shipibokonibo_64_cushcushyam__1
65_sachainchi,inka bontama,shipibokonibo_65_sachainchi__1
66_peanut,tama,shipibokonibo_66_peanut__1
67_manioc,atsa,shipibokonibo_67_manioc__1
68_piripiri,wastɨ,shipibokonibo_68_piripiri__1
69_cacaotree,tuɻampi,shipibokonibo_69_cacaotree__1
70_mocambotree,makampu,shipibokonibo_70_mocambotree__1
72_cashew,kaʃu,shipibokonibo_72_cashew__1
73_culantro,aʂɨ,shipibokonibo_73_culantro__1
74_tobacco,ɻumɨ,shipibokonibo_74_tobacco__1
75_peachpalm,wanin,shipibokonibo_75_peachpalm__1
76_aguaje,binun,shipibokonibo_76_aguaje__1
77_patawa,isan,shipibokonibo_77_patawa__1
78_coconut,koko,shipibokonibo_78_coconut__1
79_cocona,pupu,shipibokonibo_79_cocona__1
80_taro,kamis,shipibokonibo_80_taro__1
81_stranglerfig,ʂuna,shipibokonibo_81_stranglerfig__1
82_camucamu,kamukamu,shipibokonibo_82_camucamu__1
83_giantceibatree,ʂunu,shipibokonibo_83_giantceibatree__1
84_cedar,kunʂan,shipibokonibo_84_cedar__1
85_mahogany,ʂɨʂɨ,shipibokonibo_85_mahogany__1
86_annatto,maʂu,shipibokonibo_86_annatto__1
87_huito,nanɨ,shipibokonibo_87_huito__1
88_lepidocaryumtenue,hɨpɨpɨj,shipibokonibo_88_lepidocaryumtenue__1
89_soapapple,isunʂuma,shipibokonibo_89_soapapple__1
91_hotpepper,jutʃi,shipibokonibo_91_hotpepper__1
92_wayruru,ʂɨpuʂ,shipibokonibo_92_wayruru__1
93_maniocdrink,atsaʂwati,
94_plantaindrink,paɾanta ʂɨati,shipibokonibo_94_plantaindrink__1
95_fishbasedfood,kawa,shipibokonibo_95_fishbasedfood__1
96_arrow,pia,shipibokonibo_96_arrow__1
97_bow,kanuti,shipibokonibo_97_bow__1
98_harpoon,tʃikaɻu,shipibokonibo_98_harpoon__1
99_fishtrap,tʃikaɻu,shipibokonibo_99_fishtrap__1
100_spear,pia,shipibokonibo_100_spear__1
101_temporaryshelter,pwɨʂubu,shipibokonibo_101_temporaryshelter__1
